"","sample","Estimator","region_year","region_100","endYear","record_count"
"1","Ralpine_Y1921",104.990936538406,"Ralpine_Y1921","alpine",1921,774
"2","Ralpine_Y1922",112.685488827246,"Ralpine_Y1922","alpine",1922,815
"3","Ralpine_Y1923",113.853090360075,"Ralpine_Y1923","alpine",1923,876
"4","Ralpine_Y1924",121.351495656725,"Ralpine_Y1924","alpine",1924,1370
"5","Ralpine_Y1925",102.341931926558,"Ralpine_Y1925","alpine",1925,1199
"6","Ralpine_Y1926",120.343938906411,"Ralpine_Y1926","alpine",1926,1588
"7","Ralpine_Y1927",94.5903184830572,"Ralpine_Y1927","alpine",1927,982
"8","Ralpine_Y1928",109.322062600524,"Ralpine_Y1928","alpine",1928,539
"9","Ralpine_Y1929",98.1573940482164,"Ralpine_Y1929","alpine",1929,883
"10","Ralpine_Y1930",109.373386844712,"Ralpine_Y1930","alpine",1930,1162
"11","Ralpine_Y1931",98.6597810031059,"Ralpine_Y1931","alpine",1931,1038
"12","Ralpine_Y1932",115.312316181979,"Ralpine_Y1932","alpine",1932,2064
"13","Ralpine_Y1933",116.991708554553,"Ralpine_Y1933","alpine",1933,2232
"14","Ralpine_Y1934",123.019767574355,"Ralpine_Y1934","alpine",1934,2511
"15","Ralpine_Y1935",90.6545597706916,"Ralpine_Y1935","alpine",1935,4716
"16","Ralpine_Y1936",110.645357948966,"Ralpine_Y1936","alpine",1936,2093
"17","Ralpine_Y1937",73.860811460559,"Ralpine_Y1937","alpine",1937,810
"18","Ralpine_Y1938",87.7963681684807,"Ralpine_Y1938","alpine",1938,1289
"19","Ralpine_Y1939",123.145133185375,"Ralpine_Y1939","alpine",1939,1402
"20","Ralpine_Y1940",108.343444959432,"Ralpine_Y1940","alpine",1940,738
"21","Ralpine_Y1941",119.049954370462,"Ralpine_Y1941","alpine",1941,1005
"22","Ralpine_Y1942",115.19606062567,"Ralpine_Y1942","alpine",1942,2202
"23","Ralpine_Y1943",104.135098255403,"Ralpine_Y1943","alpine",1943,1706
"24","Ralpine_Y1944",99.8524676932192,"Ralpine_Y1944","alpine",1944,1381
