"","sample","Estimator","region_year","region_100","endYear","record_count"
"1","Ralpine_Y1946",44.7021925592609,"Ralpine_Y1946","alpine",1946,128
"2","Ralpine_Y1955",48.8864933735225,"Ralpine_Y1955","alpine",1955,183
"3","Ralpine_Y1958",56.957730298563,"Ralpine_Y1958","alpine",1958,119
"4","Ralpine_Y1964",63.3373688647708,"Ralpine_Y1964","alpine",1964,124
"5","Ralpine_Y1966",47.9207867987186,"Ralpine_Y1966","alpine",1966,269
"6","Ralpine_Y1967",51.8378433941552,"Ralpine_Y1967","alpine",1967,185
"7","Ralpine_Y1968",51.734850138328,"Ralpine_Y1968","alpine",1968,230
"8","Ralpine_Y1969",42.751919697607,"Ralpine_Y1969","alpine",1969,144
"9","Ralpine_Y1970",52.5841146208681,"Ralpine_Y1970","alpine",1970,270
"10","Ralpine_Y1971",50.5551761366394,"Ralpine_Y1971","alpine",1971,194
"11","Ralpine_Y1972",50.2482770856061,"Ralpine_Y1972","alpine",1972,148
"12","Ralpine_Y1973",55.5786709179798,"Ralpine_Y1973","alpine",1973,193
"13","Ralpine_Y1974",52.7451022564646,"Ralpine_Y1974","alpine",1974,150
"14","Ralpine_Y1975",49.5517251295578,"Ralpine_Y1975","alpine",1975,106
"15","Ralpine_Y1976",52.2661206717811,"Ralpine_Y1976","alpine",1976,106
"16","Ralpine_Y1977",42.3444703644915,"Ralpine_Y1977","alpine",1977,174
"17","Ralpine_Y1978",45.825108640363,"Ralpine_Y1978","alpine",1978,182
"18","Ralpine_Y1979",49.2647811769902,"Ralpine_Y1979","alpine",1979,362
"19","Ralpine_Y1980",44.9957449481425,"Ralpine_Y1980","alpine",1980,199
"20","Ralpine_Y1981",54.6004532035461,"Ralpine_Y1981","alpine",1981,714
"21","Ralpine_Y1982",62.3565895248354,"Ralpine_Y1982","alpine",1982,506
"22","Ralpine_Y1983",64.7296599754081,"Ralpine_Y1983","alpine",1983,838
"23","Ralpine_Y1984",57.4994760651508,"Ralpine_Y1984","alpine",1984,517
"24","Ralpine_Y1985",66.6021737168954,"Ralpine_Y1985","alpine",1985,632
"25","Ralpine_Y1986",60.6791431411153,"Ralpine_Y1986","alpine",1986,548
"26","Ralpine_Y1988",64.850941437111,"Ralpine_Y1988","alpine",1988,653
"27","Ralpine_Y1989",63.3117756434338,"Ralpine_Y1989","alpine",1989,751
"28","Ralpine_Y1990",61.1057879874222,"Ralpine_Y1990","alpine",1990,425
"29","Ralpine_Y1991",66.6529208980647,"Ralpine_Y1991","alpine",1991,420
"30","Ralpine_Y1992",55.100244876027,"Ralpine_Y1992","alpine",1992,251
"31","Ralpine_Y1993",66.908761715309,"Ralpine_Y1993","alpine",1993,411
"32","Ralpine_Y1994",68.2358220576463,"Ralpine_Y1994","alpine",1994,751
"33","Ralpine_Y1995",72.2150301792453,"Ralpine_Y1995","alpine",1995,478
