Genus,Specific,Species,taxo_group,European_Category
Anasimyia,contracta,Anasimyia contracta,hoverflies,LC
Anasimyia,femorata,Anasimyia femorata,hoverflies,EN
Anasimyia,interpuncta,Anasimyia interpuncta,hoverflies,LC
Anasimyia,lunulata,Anasimyia lunulata,hoverflies,LC
Anasimyia,transfuga,Anasimyia transfuga,hoverflies,LC
Arctosyrphus,willingii,Arctosyrphus willingii,hoverflies,DD
Baccha,elongata,Baccha elongata,hoverflies,LC
Blera,eoa,Blera eoa,hoverflies,EN
Blera,fallax,Blera fallax,hoverflies,LC
Brachyopa,minima,Brachyopa minima,hoverflies,CR
Blera,nitens,Blera nitens,hoverflies,DD
Brachyopa,atlantea,Brachyopa atlantea,hoverflies,DD
Brachyopa,bicolor,Brachyopa bicolor,hoverflies,LC
Brachyopa,bimaculosa,Brachyopa bimaculosa,hoverflies,EN
Brachyopa,cinerea,Brachyopa cinerea,hoverflies,VU
Brachyopa,dorsata,Brachyopa dorsata,hoverflies,LC
Brachyopa,grunewaldensis,Brachyopa grunewaldensis,hoverflies,EN
Brachyopa,insensilis,Brachyopa insensilis,hoverflies,LC
Brachyopa,maculipennis,Brachyopa maculipennis,hoverflies,EN
Brachyopa,obscura,Brachyopa obscura,hoverflies,LC
Brachyopa,panzeri,Brachyopa panzeri,hoverflies,LC
Brachyopa,pilosa,Brachyopa pilosa,hoverflies,LC
Brachyopa,plena,Brachyopa plena,hoverflies,NT
Brachyopa,quadrimaculosa,Brachyopa quadrimaculosa,hoverflies,EN
Brachyopa,scutellaris,Brachyopa scutellaris,hoverflies,LC
Brachyopa,silviae,Brachyopa silviae,hoverflies,EN
Brachyopa,testacea,Brachyopa testacea,hoverflies,LC
Brachyopa,vernalis,Brachyopa vernalis,hoverflies,EN
Brachyopa,vittata,Brachyopa vittata,hoverflies,NT
Brachyopa,zhelochovtsevi,Brachyopa zhelochovtsevi,hoverflies,DD
Brachypalpoides,lentus,Brachypalpoides lentus,hoverflies,LC
Brachypalpus,chrysites,Brachypalpus chrysites,hoverflies,VU
Brachypalpus,laphriformis,Brachypalpus laphriformis,hoverflies,LC
Brachypalpus,valgus,Brachypalpus valgus,hoverflies,LC
Caliprobola,speciosa,Caliprobola speciosa,hoverflies,LC
Callicera,aenea,Callicera aenea,hoverflies,VU
Callicera,aurata,Callicera aurata,hoverflies,VU
Callicera,fagesii,Callicera fagesii,hoverflies,EN
Callicera,macquarti,Callicera macquarti,hoverflies,EN
