species,taxo_group,1 (1921-1940),2 (1941-1960),3 (1961-1980),4 (1981-2000),5 (2001-2020),Reverte,Trends,Periods,Records
Amegilla talaris,bees,0,3,21,1,0,No,Yes,3,25
Afranthidium carduele,bees,1,1,40,3,12,Yes,Yes,5,57
Afranthidium schulthessii,bees,1,0,6,1,17,Yes,Yes,4,25
Aglaoapis tridentata,bees,91,90,93,160,302,Yes,Yes,5,736
Amegilla albigena,bees,155,179,357,482,801,Yes,Yes,5,1974
Amegilla andresi,bees,0,9,53,36,64,Yes,Yes,4,162
Amegilla fasciata,bees,5,8,63,45,106,Yes,Yes,5,227
Amegilla garrula,bees,46,81,67,143,331,Yes,Yes,5,668
Amegilla ochroleuca,bees,6,17,31,35,50,Yes,Yes,5,139
Amegilla quadrifasciata,bees,107,167,252,413,1144,Yes,Yes,5,2083
Amegilla salviae,bees,0,32,21,5,43,Yes,Yes,4,101
Amegilla savignyi,bees,9,43,54,166,87,Yes,Yes,5,359
Amegilla velocissima,bees,0,4,239,37,1,Yes,Yes,4,281
Ammobates armeniacus,bees,1,1,1,0,0,Yes,No,3,3
Ammobates biastoides,bees,0,1,1,0,0,Yes,No,2,2
Ammobates dusmeti,bees,2,2,1,1,0,Yes,No,4,6
Ammobates mavromoustakisi,bees,1,2,0,0,0,Yes,No,2,3
Ammobates melectoides,bees,0,0,0,1,1,Yes,No,2,2
Ammobates muticus,bees,0,37,8,17,136,Yes,Yes,4,198
Ammobates opacus,bees,0,0,1,0,0,Yes,No,1,1
Ammobates oraniensis,bees,0,0,1,0,0,Yes,No,1,1
Ammobates punctatus,bees,57,115,36,74,99,Yes,Yes,5,381
Ammobates rufiventris,bees,0,2,5,5,6,Yes,No,4,18
Ammobates sanguineus,bees,0,1,1,1,0,Yes,No,3,3
Ammobates similis,bees,1,2,2,0,0,Yes,No,3,5
Ammobates vinctus,bees,7,6,5,8,4,Yes,No,5,30
Ammobatoides abdominalis,bees,8,17,16,4,30,Yes,Yes,5,75
Ammobatoides luctuosus,bees,0,0,3,1,1,Yes,No,3,5
Ammobatoides okalii,bees,0,0,2,0,0,Yes,No,1,2
Ammobatoides scriptus,bees,2,3,14,5,31,Yes,Yes,5,55
Anasimyia contracta,hoverflies,0,0,6,14,162,Yes,Yes,3,182
Anasimyia femorata,hoverflies,0,0,0,5,1,Yes,No,2,6
Anasimyia interpuncta,hoverflies,4,5,24,100,601,Yes,Yes,5,734
Anasimyia lunulata,hoverflies,1,5,71,93,125,Yes,Yes,5,295
Anasimyia transfuga,hoverflies,4,14,27,160,467,Yes,Yes,5,672
Ancyla asiatica,bees,0,0,0,0,6,Yes,No,1,6
Ancyla holtzi,bees,3,0,1,0,2,Yes,No,3,6
Ancyla orientalica,bees,0,0,0,0,2,Yes,No,1,2
Andrena abbreviata,bees,0,5,37,349,12,Yes,Yes,4,403
Andrena aberrans,bees,0,2,0,724,7,Yes,No,3,733
Andrena abjecta,bees,0,0,0,2,4,Yes,No,2,6
Andrena abrupta,bees,0,0,11,60,74,Yes,Yes,3,145
Andrena acerba,bees,0,0,0,0,32,Yes,No,1,32
Andrena aciculata,bees,0,0,7,1272,12,Yes,Yes,3,1291
Andrena aegypticola,bees,0,1,0,4,3,Yes,No,3,8
Andrena aeneiventris,bees,68,25,87,3072,159,Yes,Yes,5,3411
Andrena aerinifrons,bees,0,4,6,193,21,Yes,Yes,4,224
Andrena afrensis,bees,18,5,27,712,105,Yes,Yes,5,867
Andrena afzeliella,bees,89,67,116,115,362,Yes,Yes,5,749
