Working set,assessmentdate,family,friendly_name,taxonomic_authority,category,ALL_DRAFTS_GLOBAL.criteria,category_value,isendemictoeuregion,EUREGIONALCATEGORYANDCRITERIA.criteria,POPULATIONTREND.value_value,INPLACELANDWATERPROTECTIONINPA.value_value,region_value,regions_value,taxonid,assessmentid,Endemic to Europe
GE,"Jul 17, 23",APIDAE,Bombus alpinus,"(Linnaeus, 1758)",VU,E,Vulnerable (VU),FALSE,E,Stable,Yes,EU27 (post 2020),Global,13152906,222209196,Yes
GE,"Feb 7, 23",COLLETIDAE,Colletes creticus,"Noskiewicz, 1936",LC,,,TRUE,,Stable,Unknown,EU27 (post 2020),Global,13304723,222222583,Yes
GE,"Feb 7, 23",COLLETIDAE,Colletes cyprius,"Noskiewicz, 1936",LC,,,TRUE,,Stable,Unknown,EU27 (post 2020),Global,13304833,222195072,Yes
GE,"Jul 17, 23",COLLETIDAE,Colletes dimidiatus,"Brullé, 1840",LC,,,TRUE,,Stable,Unknown,EU27 (post 2020),Global,13305371,222215696,Yes
GE,"Feb 7, 23",COLLETIDAE,Colletes dinizi,"Kuhlmann, Ortiz &amp; Ornosa, 2001",LC,,,TRUE,,Unknown,Yes,EU27 (post 2020),Global,13305403,222211467,Yes
GE,"Feb 7, 23",COLLETIDAE,Colletes halophilus,"Verhoeff, 1944",NT,B2b(iii),,TRUE,,Decreasing,Yes,EU27 (post 2020),Global,13306686,222224564,Yes
GE,"Feb 7, 23",COLLETIDAE,Colletes hederae,"Schmidt &amp; Westrich, 1993",LC,,Least Concern (LC),FALSE,,Increasing,Yes,EU27 (post 2020),Global,13306742,222220812,Yes
GE,"Jul 17, 23",COLLETIDAE,Colletes merceti,"Noskiewicz, 1936",CR,B2ab(iii),,TRUE,B2ab(iii),Decreasing,Unknown,EU27 (post 2020),Global,13307133,222203498,Yes
GE,"Jul 17, 23",COLLETIDAE,Colletes moricei,"Saunders, 1904",VU,"B1ab(ii,iii)+2ab(ii,iii)",,TRUE,"B1ab(ii,iii)+2ab(ii,iii)",Decreasing,Unknown,EU27 (post 2020),Global,13307158,222204801,Yes
GE,"Jul 17, 23",COLLETIDAE,Colletes pulchellus,"Pérez, 1903",VU,"B2ab(ii,iii)",,TRUE,"B2ab(ii,iii)",Decreasing,Unknown,EU27 (post 2020),Global,13307394,222214963,Yes
GE,"Feb 7, 23",COLLETIDAE,Colletes schmidi,"Noskiewicz, 1962",NT,B1b(iii)+2b(iii),,TRUE,B1b(iii)+2b(iii),Stable,Yes,EU27 (post 2020),Global,13307633,222228115,Yes
