"","sample","Assemblage","m","Method","Order.q","qD","qD.LCL","qD.UCL","SC","SC.LCL","SC.UCL","region_year","region_100","endYear"
"1","Ralpine_Y1921","data",100,"Rarefaction",0,67.4910535142298,65.3474888300074,69.6346181984523,0.526616098875542,0.503359569849264,0.549872627901819,"Ralpine_Y1921","alpine",1921
"2","Ralpine_Y1922","data",100,"Rarefaction",0,71.6445915363802,69.5341040807513,73.7550789920091,0.482831922886967,0.456921195938333,0.508742649835601,"Ralpine_Y1922","alpine",1922
"3","Ralpine_Y1923","data",100,"Rarefaction",0,72.1585262771976,70.5728486166966,73.7442039376985,0.477359156909314,0.458663725149468,0.49605458866916,"Ralpine_Y1923","alpine",1923
"4","Ralpine_Y1924","data",100,"Rarefaction",0,74.9256449456438,73.7350732256448,76.1162166656427,0.43246225911099,0.415489141131045,0.449435377090935,"Ralpine_Y1924","alpine",1924
"5","Ralpine_Y1925","data",100,"Rarefaction",0,66.3367037922133,64.6576369396313,68.0157706447953,0.545887133882254,0.526726990275046,0.565047277489461,"Ralpine_Y1925","alpine",1925
"6","Ralpine_Y1926","data",100,"Rarefaction",0,73.9906448521931,72.7884437183546,75.1928459860315,0.439338001045703,0.424109064893412,0.454566937197993,"Ralpine_Y1926","alpine",1926
"7","Ralpine_Y1927","data",100,"Rarefaction",0,60.9458365059927,59.0709092793073,62.8207637326782,0.583772364276992,0.566183423319783,0.601361305234201,"Ralpine_Y1927","alpine",1927
"8","Ralpine_Y1928","data",100,"Rarefaction",0,69.9834470623407,67.544955441985,72.4219386826964,0.504350590966655,0.475578318648395,0.533122863284916,"Ralpine_Y1928","alpine",1928
"9","Ralpine_Y1929","data",100,"Rarefaction",0,63.0025839933252,61.2012671140818,64.8039008725686,0.559574370726327,0.540623098423488,0.578525643029167,"Ralpine_Y1929","alpine",1929
"10","Ralpine_Y1930","data",100,"Rarefaction",0,68.93360653609,67.0219482694362,70.8452648027439,0.504864062776545,0.483850446271163,0.525877679281928,"Ralpine_Y1930","alpine",1930
"11","Ralpine_Y1931","data",100,"Rarefaction",0,62.8842470012325,60.7858178025842,64.9826761998808,0.564761090000356,0.544033113680432,0.58548906632028,"Ralpine_Y1931","alpine",1931
"12","Ralpine_Y1932","data",100,"Rarefaction",0,72.4803649071712,71.3642811228642,73.5964486914782,0.468919100368272,0.455516819335459,0.482321381401085,"Ralpine_Y1932","alpine",1932
"13","Ralpine_Y1933","data",100,"Rarefaction",0,72.7216834492439,71.6912171250774,73.7521497734104,0.459673662878326,0.447260906423217,0.472086419333436,"Ralpine_Y1933","alpine",1933
"14","Ralpine_Y1934","data",100,"Rarefaction",0,75.0542658640266,74.0879452587552,76.020586469298,0.424495390480205,0.411900722025246,0.437090058935164,"Ralpine_Y1934","alpine",1934
"15","Ralpine_Y1935","data",100,"Rarefaction",0,56.6264136075504,55.4454598165578,57.8073673985429,0.600428178729573,0.589281029625414,0.611575327833732,"Ralpine_Y1935","alpine",1935
"16","Ralpine_Y1936","data",100,"Rarefaction",0,69.1868540581856,68.0045289969434,70.3691791194277,0.495171703895469,0.481928419362591,0.508414988428347,"Ralpine_Y1936","alpine",1936
"17","Ralpine_Y1937","data",100,"Rarefaction",0,49.0360152803376,46.736444921693,51.3355856389823,0.695509013188114,0.673859955073525,0.717158071302703,"Ralpine_Y1937","alpine",1937
"18","Ralpine_Y1938","data",100,"Rarefaction",0,56.9427554122446,55.0232364058675,58.8622744186217,0.622780855977605,0.60511863564782,0.64044307630739,"Ralpine_Y1938","alpine",1938
"19","Ralpine_Y1939","data",100,"Rarefaction",0,76.0058142172376,74.7593547815315,77.2522736529437,0.422341936894244,0.405175053374807,0.43950882041368,"Ralpine_Y1939","alpine",1939
"20","Ralpine_Y1940","data",100,"Rarefaction",0,69.2578519770878,67.3662034025111,71.1495005516645,0.507933808395196,0.487115578535861,0.528752038254531,"Ralpine_Y1940","alpine",1940
"21","Ralpine_Y1941","data",100,"Rarefaction",0,73.6467400871161,71.8642630622334,75.4292171119989,0.448095260681934,0.427146615564042,0.469043905799826,"Ralpine_Y1941","alpine",1941
"22","Ralpine_Y1942","data",100,"Rarefaction",0,70.2252343544835,68.9022310962622,71.5482376127047,0.462876951760804,0.44931900956112,0.476434893960488,"Ralpine_Y1942","alpine",1942
"23","Ralpine_Y1943","data",100,"Rarefaction",0,65.1173158170777,63.5518705277011,66.6827611064542,0.535435200148654,0.520027079178898,0.550843321118411,"Ralpine_Y1943","alpine",1943
"24","Ralpine_Y1944","data",100,"Rarefaction",0,64.231441454985,62.7351079948929,65.727774915077,0.558281433703284,0.541590797474403,0.574972069932164,"Ralpine_Y1944","alpine",1944
"25","Ralpine_Y1945","data",100,"Rarefaction",0,66.1665956290343,64.6799612305757,67.653230027493,0.53068502740314,0.513985006791043,0.547385048015238,"Ralpine_Y1945","alpine",1945
"26","Ralpine_Y1946","data",100,"Rarefaction",0,72.7062645644304,71.2918571402185,74.1206719886423,0.456817463330287,0.439531881281081,0.474103045379493,"Ralpine_Y1946","alpine",1946
"27","Ralpine_Y1947","data",100,"Rarefaction",0,54.0890390300293,52.269231266104,55.9088467939547,0.662591450465682,0.644725113738027,0.680457787193336,"Ralpine_Y1947","alpine",1947
"28","Ralpine_Y1948","data",100,"Rarefaction",0,66.0394369323222,64.1793502361262,67.8995236285183,0.538382002430467,0.517533004876231,0.559230999984703,"Ralpine_Y1948","alpine",1948
