"","sample","Assemblage","m","Method","Order.q","qD","qD.LCL","qD.UCL","SC","SC.LCL","SC.UCL","region_year","region_100","endYear"
"1","Ralpine_Y1966","data",200,"Rarefaction",0,67.054308186161,60.7447872819666,73.3638290903554,0.853396976648587,0.818397261559277,0.888396691737897,"Ralpine_Y1966","alpine",1966
"2","Ralpine_Y1968","data",200,"Rarefaction",0,74.9154993170901,67.8320170631872,81.998981570993,0.82096835486127,0.782742741534876,0.859193968187663,"Ralpine_Y1968","alpine",1968
"3","Ralpine_Y1970","data",200,"Rarefaction",0,73.0066682978528,67.0544801712075,78.958856424498,0.850466201356188,0.824885988494669,0.876046414217706,"Ralpine_Y1970","alpine",1970
"4","Ralpine_Y1979","data",200,"Rarefaction",0,68.6352736583123,63.9581035624086,73.3124437542161,0.858270180641008,0.839101962189873,0.877438399092142,"Ralpine_Y1979","alpine",1979
"5","Ralpine_Y1981","data",200,"Rarefaction",0,79.5934106046163,75.6434829229,83.5433382863325,0.80748211246793,0.789288002087396,0.825676222848463,"Ralpine_Y1981","alpine",1981
"6","Ralpine_Y1982","data",200,"Rarefaction",0,94.9220387266516,91.2542800442032,98.5897974091,0.74387619718752,0.727402097194998,0.760350297180042,"Ralpine_Y1982","alpine",1982
"7","Ralpine_Y1983","data",200,"Rarefaction",0,97.7312495937109,93.9122062006511,101.550292986771,0.743642238573355,0.72541893592383,0.761865541222881,"Ralpine_Y1983","alpine",1983
"8","Ralpine_Y1984","data",200,"Rarefaction",0,85.3492441216536,81.2355653369438,89.4629229063634,0.778464137220439,0.75999173306881,0.796936541372067,"Ralpine_Y1984","alpine",1984
"9","Ralpine_Y1985","data",200,"Rarefaction",0,102.198014912474,97.5201400128909,106.875889812058,0.714908739752914,0.691159929436279,0.73865755006955,"Ralpine_Y1985","alpine",1985
"10","Ralpine_Y1986","data",200,"Rarefaction",0,89.9169109937652,85.8480927163541,93.9857292711762,0.773916584588219,0.757096968027235,0.790736201149203,"Ralpine_Y1986","alpine",1986
"11","Ralpine_Y1988","data",200,"Rarefaction",0,98.0339461411008,93.6240640328756,102.443828249326,0.742588559202823,0.721746564485622,0.763430553920024,"Ralpine_Y1988","alpine",1988
"12","Ralpine_Y1989","data",200,"Rarefaction",0,96.3463709017205,92.5943032674326,100.098438536008,0.733358803112383,0.714880944935784,0.751836661288983,"Ralpine_Y1989","alpine",1989
"13","Ralpine_Y1990","data",200,"Rarefaction",0,92.0187309780455,87.0400771637971,96.9973847922939,0.75584654567327,0.729464068612688,0.782229022733852,"Ralpine_Y1990","alpine",1990
"14","Ralpine_Y1991","data",200,"Rarefaction",0,102.207454626166,98.0286407061647,106.386268546167,0.719993820890527,0.695267670287748,0.744719971493305,"Ralpine_Y1991","alpine",1991
"15","Ralpine_Y1992","data",200,"Rarefaction",0,87.4259702964025,79.5128855005434,95.3390550922616,0.732659266354227,0.687200420746786,0.778118111961667,"Ralpine_Y1992","alpine",1992
"16","Ralpine_Y1993","data",200,"Rarefaction",0,103.876511667468,98.9895277202176,108.763495614719,0.704319201852252,0.677036801443847,0.731601602260657,"Ralpine_Y1993","alpine",1993
"17","Ralpine_Y1994","data",200,"Rarefaction",0,111.131399687064,106.907722987753,115.355076386375,0.645884546605245,0.624944553028974,0.666824540181516,"Ralpine_Y1994","alpine",1994
"18","Ralpine_Y1995","data",200,"Rarefaction",0,117.948923228425,112.35191807453,123.54592838232,0.613897952264395,0.584674696082026,0.643121208446764,"Ralpine_Y1995","alpine",1995
"19","Ralpine_Y1996","data",200,"Rarefaction",0,120.298713191727,115.120583316181,125.476843067273,0.634281842213078,0.601055723733244,0.667507960692911,"Ralpine_Y1996","alpine",1996
"20","Ralpine_Y1997","data",200,"Rarefaction",0,117.622031422116,113.341530860681,121.902531983551,0.637494254738622,0.616652887395312,0.658335622081932,"Ralpine_Y1997","alpine",1997
"21","Ralpine_Y1998","data",200,"Rarefaction",0,112.626233512603,108.181903543641,117.070563481566,0.676029196550884,0.654295150123808,0.69776324297796,"Ralpine_Y1998","alpine",1998
"22","Ralpine_Y1999","data",200,"Rarefaction",0,103.892510035968,96.3319305825811,111.453089489354,0.69303051494314,0.643254605264041,0.742806424622239,"Ralpine_Y1999","alpine",1999
"23","Ralpine_Y2000","data",200,"Rarefaction",0,113.267769050028,106.813969169072,119.721568930984,0.639022503306285,0.606566903563191,0.671478103049379,"Ralpine_Y2000","alpine",2000
"24","Ralpine_Y2001","data",200,"Rarefaction",0,113.706783383798,109.357350375455,118.056216392141,0.640009566791497,0.617379438446985,0.66263969513601,"Ralpine_Y2001","alpine",2001
"25","Ralpine_Y2004","data",200,"Rarefaction",0,105.33103936139,97.8635303579796,112.7985483648,0.674250401749076,0.638812626357883,0.70968817714027,"Ralpine_Y2004","alpine",2004
"26","Ralpine_Y2005","data",200,"Rarefaction",0,90.3946094031389,85.3386748054067,95.4505440008711,0.726402804460938,0.699324830972987,0.75348077794889,"Ralpine_Y2005","alpine",2005
"27","Ralpine_Y2006","data",200,"Rarefaction",0,47.3145554762979,41.3640558599402,53.2650550926555,0.856352815423661,0.828268128017175,0.884437502830148,"Ralpine_Y2006","alpine",2006
"28","Ralpine_Y2007","data",200,"Rarefaction",0,76.7048736487925,72.6107066191152,80.7990406784697,0.751877387026202,0.7324009266814,0.771353847371004,"Ralpine_Y2007","alpine",2007
