"","sample","Estimator","region_year","region_100","endYear","record_count"
"1","Ralpine_Y1921",67.4910535142361,"Ralpine_Y1921","alpine",1921,774
"2","Ralpine_Y1922",71.6445915363714,"Ralpine_Y1922","alpine",1922,815
"3","Ralpine_Y1923",72.1585262772009,"Ralpine_Y1923","alpine",1923,876
"4","Ralpine_Y1924",74.9256449456322,"Ralpine_Y1924","alpine",1924,1370
"5","Ralpine_Y1925",66.3367037922225,"Ralpine_Y1925","alpine",1925,1199
"6","Ralpine_Y1926",73.9906448521924,"Ralpine_Y1926","alpine",1926,1588
"7","Ralpine_Y1927",60.94583650599,"Ralpine_Y1927","alpine",1927,982
"8","Ralpine_Y1928",69.9834470623487,"Ralpine_Y1928","alpine",1928,539
"9","Ralpine_Y1929",63.0025839933251,"Ralpine_Y1929","alpine",1929,883
"10","Ralpine_Y1930",68.9336065360718,"Ralpine_Y1930","alpine",1930,1162
"11","Ralpine_Y1931",62.8842470012244,"Ralpine_Y1931","alpine",1931,1038
"12","Ralpine_Y1932",72.480364907165,"Ralpine_Y1932","alpine",1932,2064
"13","Ralpine_Y1933",72.7216834492381,"Ralpine_Y1933","alpine",1933,2232
"14","Ralpine_Y1934",75.0542658640401,"Ralpine_Y1934","alpine",1934,2511
"15","Ralpine_Y1935",56.6264136075544,"Ralpine_Y1935","alpine",1935,4716
"16","Ralpine_Y1936",69.1868540581914,"Ralpine_Y1936","alpine",1936,2093
"17","Ralpine_Y1937",49.0360152803356,"Ralpine_Y1937","alpine",1937,810
"18","Ralpine_Y1938",56.9427554122475,"Ralpine_Y1938","alpine",1938,1289
"19","Ralpine_Y1939",76.005814217229,"Ralpine_Y1939","alpine",1939,1402
"20","Ralpine_Y1940",69.2578519770859,"Ralpine_Y1940","alpine",1940,738
"21","Ralpine_Y1941",73.6467400871162,"Ralpine_Y1941","alpine",1941,1005
"22","Ralpine_Y1942",70.2252343544885,"Ralpine_Y1942","alpine",1942,2202
"23","Ralpine_Y1943",65.1173158170703,"Ralpine_Y1943","alpine",1943,1706
"24","Ralpine_Y1944",64.2314414549842,"Ralpine_Y1944","alpine",1944,1381
"25","Ralpine_Y1945",66.1665956290287,"Ralpine_Y1945","alpine",1945,1369
"26","Ralpine_Y1946",72.7062645644305,"Ralpine_Y1946","alpine",1946,1322
"27","Ralpine_Y1947",54.0890390300393,"Ralpine_Y1947","alpine",1947,1183
"28","Ralpine_Y1948",66.0394369323248,"Ralpine_Y1948","alpine",1948,840
"29","Ralpine_Y1949",54.4141765155478,"Ralpine_Y1949","alpine",1949,1378
"30","Ralpine_Y1950",45.990638223499,"Ralpine_Y1950","alpine",1950,1327
"31","Ralpine_Y1951",68.6186693937486,"Ralpine_Y1951","alpine",1951,1263
"32","Ralpine_Y1952",56.4526109597028,"Ralpine_Y1952","alpine",1952,773
"33","Ralpine_Y1953",44.2270348337926,"Ralpine_Y1953","alpine",1953,1770
"34","Ralpine_Y1954",44.2628295747647,"Ralpine_Y1954","alpine",1954,1073
