"","endYear",".estimate","std_error","conf.low","conf.high","region_100","min_year","max_year",".smooth",".derivative",".lower_ci",".upper_ci","sig"
"1",1921,37.4957560372922,15.0848602047925,7.76382679372625,67.2276852808581,"atlantic",1921,2020,"s(endYear):region_100atlantic",0.769554923507694,-0.0661299588674058,1.60523980588279,"Stable"
"2",1936,48.8006052885353,10.374521889268,28.3526497516624,69.2485608254083,"atlantic",1921,2020,"s(endYear):region_100atlantic",0.721861902007622,-0.0838942483911758,1.52761805240642,"Stable"
"3",1938,50.2308628496378,9.77102152605375,30.9723933175375,69.4893323817382,"atlantic",1921,2020,"s(endYear):region_100atlantic",0.708023825702403,-0.0890554865646093,1.50510313796942,"Stable"
"4",1944,54.3202389649809,8.02191007958141,38.5092298043798,70.1312481255821,"atlantic",1921,2020,"s(endYear):region_100atlantic",0.651079053847743,-0.110330495270933,1.41248860296642,"Stable"
"5",1955,60.6263848654609,5.17657905754369,50.4234608626441,70.8293088682777,"atlantic",1921,2020,"s(endYear):region_100atlantic",0.48096582004168,-0.174311729877411,1.13624336996077,"Stable"
"6",1955,41.5026468116316,27.9850662244849,-13.6553061005569,96.66059972382,"continental",1955,2020,"s(endYear):region_100continental",3.25507003211294,-0.164575863845251,6.67471592807112,"Stable"
"7",1958,61.9786873254062,4.5142475578705,53.0812042094603,70.8761704413521,"atlantic",1921,2020,"s(endYear):region_100atlantic",0.419512601253418,-0.197627419125772,1.03665262163261,"Stable"
"8",1958,50.9034493409297,24.1798712019937,3.24545251920166,98.5614461626577,"continental",1955,2020,"s(endYear):region_100continental",3.00788387105418,-0.224132281654764,6.23990002376311,"Stable"
"9",1959,62.3873155981094,4.3068373298898,53.8986335011319,70.875997695087,"atlantic",1921,2020,"s(endYear):region_100atlantic",0.397631270680942,-0.205962043745446,1.00122458510733,"Stable"
"10",1959,53.8675516495254,22.964378758568,8.60526382565335,99.1298394733975,"continental",1955,2020,"s(endYear):region_100continental",2.9198695699367,-0.245371173119381,6.08511031299278,"Stable"
"11",1960,62.7737276812718,4.10655028510432,54.6798069651171,70.8676483974264,"atlantic",1921,2020,"s(endYear):region_100atlantic",0.375084978274319,-0.214569958477184,0.964739915025822,"Stable"
"12",1960,56.7422927380864,21.7769045126103,13.8204906582025,99.6640948179703,"continental",1955,2020,"s(endYear):region_100continental",2.82918066370839,-0.267275538100254,5.92563686551704,"Stable"
"13",1963,63.7932690761269,3.55098191808679,56.7943614495122,70.7921767027416,"atlantic",1921,2020,"s(endYear):region_100atlantic",0.303680005052915,-0.241982796009568,0.849342806115399,"Stable"
"14",1963,64.8046148451812,18.3917280184665,28.5549215309384,101.054308159424,"continental",1955,2020,"s(endYear):region_100continental",2.54196504353218,-0.336797607163529,5.4207276942279,"Stable"
"15",1964,64.0844859759679,3.38170868799926,57.4192121803245,70.7497597716112,"atlantic",1921,2020,"s(endYear):region_100atlantic",0.278657207048299,-0.251651160512385,0.808965574608982,"Stable"
"16",1964,67.2964478879072,17.3254803559239,33.1483053754916,101.444590400323,"continental",1955,2020,"s(endYear):region_100continental",2.44131461976815,-0.361221602408917,5.24385084194521,"Stable"
"17",1965,64.3503952987507,3.22077208572286,58.0023240231586,70.6984665743427,"atlantic",1921,2020,"s(endYear):region_100atlantic",0.253071280989409,-0.261575226635732,0.767717788614549,"Stable"
"18",1965,69.6864850777542,16.2918464853563,37.5756122971261,101.797357858382,"continental",1955,2020,"s(endYear):region_100continental",2.33839920167705,-0.386232531004969,5.06303093435907,"Stable"
