"","family","scientificName","Group","1921-1940","1941-1960","1961-1980","1981-2000","2001-2020","trend_mediterranean","sde_mediterranean","trend_alpine","sde_alpine","trend_atlantic","sde_atlantic","trend_continental","sde_continental","trend_boreal","sde_boreal"
"1","Andrenidae","Andrena abbreviata","bees",0,2,28,6,12,NA,NA,0.00741043944147425,0.100702549611673,NA,NA,NA,NA,NA,NA
"2","Andrenidae","Andrena aberrans","bees",0,1,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Andrenidae","Andrena abjecta","bees",0,0,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Andrenidae","Andrena abrupta","bees",0,0,6,5,69,0.0852149356835405,0.0493229933073394,NA,NA,NA,NA,NA,NA,NA,NA
"5","Andrenidae","Andrena acerba","bees",0,0,0,0,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Andrenidae","Andrena aciculata","bees",0,0,6,10,9,NA,NA,NA,NA,NA,NA,-0.0476709073004111,0.0281975350075817,NA,NA
"7","Andrenidae","Andrena aegypticola","bees",0,1,0,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Andrenidae","Andrena aeneiventris","bees",58,16,71,53,153,0.00219033664592249,0.0122126972647271,-0.0113895915651413,0.0065033595439683,0.00312757777716408,0.0197796314894052,0.0201319163997616,0.0138273324764386,NA,NA
"9","Andrenidae","Andrena aerinifrons","bees",0,0,5,6,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Andrenidae","Andrena afrensis","bees",13,4,21,89,93,-0.042795422629243,0.0192447455638847,-0.00957599300463815,0.0184385365890097,NA,NA,NA,NA,NA,NA
"11","Andrenidae","Andrena afzeliella","bees",89,67,116,115,362,-0.0108857428728244,0.0134303793127212,0.0439037137464742,0.0245495779579687,0.0043971805348501,0.0084857912159529,-0.0314985899597658,0.00873415884638043,-0.087887462949289,0.0162399692295778
"12","Andrenidae","Andrena agilissima","bees",180,98,301,209,522,-0.0511741216648329,0.00398273672909614,-0.0359398280602162,0.0130877842517782,-0.0284702499364127,0.0109352122012032,-0.0244928782041357,0.00600840229510422,NA,NA
"13","Andrenidae","Andrena agnata","bees",47,0,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Andrenidae","Andrena albopunctata","bees",8,25,109,76,84,-0.0123400366524602,0.0109760233153583,NA,NA,NA,NA,NA,NA,NA,NA
"15","Andrenidae","Andrena alfkenella","bees",142,238,198,153,585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Andrenidae","Andrena alfkenelloides","bees",0,0,1,9,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Andrenidae","Andrena allosa","bees",0,2,1,1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Andrenidae","Andrena alluaudi","bees",0,0,3,9,93,-0.00278593452160066,0.0306826365631408,NA,NA,NA,NA,NA,NA,NA,NA
