species,taxo_group,matrix
Amegilla albigena,bees,common
Amegilla quadrifasciata,bees,common
Andrena agilissima,bees,common
Andrena alfkenella,bees,common
Andrena angustior,bees,common
Andrena apicata,bees,common
Andrena argentata,bees,common
Andrena barbilabris,bees,common
Andrena bicolor,bees,common
Andrena bimaculata,bees,common
Andrena bucephala,bees,common
Andrena chrysosceles,bees,common
Andrena cineraria,bees,common
Andrena clarkella,bees,common
Andrena coitana,bees,common
Andrena combinata,bees,common
Andrena denticulata,bees,common
Andrena dorsata,bees,common
Andrena falsifica,bees,common
Andrena flavipes,bees,common
Andrena florea,bees,common
Andrena fucata,bees,common
Andrena fulva,bees,common
Andrena fulvago,bees,common
Andrena fulvata,bees,common
Andrena fulvida,bees,common
Andrena fuscipes,bees,common
Andrena gravida,bees,common
Andrena haemorrhoa,bees,common
Andrena hattorfiana,bees,common
Andrena helvola,bees,common
Andrena humilis,bees,common
Andrena intermedia,bees,common
Andrena labialis,bees,common
Andrena labiata,bees,common
Andrena lapponica,bees,common
Andrena lathyri,bees,common
Andrena marginata,bees,common
Andrena minutula,bees,common
Andrena minutuloides,bees,common
Andrena nigriceps,bees,common
Andrena nigroaenea,bees,common
Andrena nigrospina,bees,common
Andrena nitida,bees,common
Andrena pilipes,bees,common
Andrena praecox,bees,common
Andrena propinqua,bees,common
Andrena proxima,bees,common
Andrena rosae,bees,common
Andrena ruficrus,bees,common
Andrena russula,bees,common
Andrena scotica,bees,common
Andrena semilaevis,bees,common
Andrena strohmella,bees,common
Andrena subopaca,bees,common
Andrena synadelpha,bees,common
Andrena tarsata,bees,common
Andrena thoracica,bees,common
Andrena tibialis,bees,common
Andrena trimmerana,bees,common
Andrena vaga,bees,common
Andrena varians,bees,common
Andrena ventralis,bees,common
Andrena wilkella,bees,common
Anthidiellum strigatum,bees,common
Anthidium florentinum,bees,common
Anthidium manicatum,bees,common
Anthidium oblongatum,bees,common
Anthidium punctatum,bees,common
Anthophora aestivalis,bees,common
Anthophora bimaculata,bees,common
Anthophora crinipes,bees,common
Anthophora furcata,bees,common
Anthophora plagiata,bees,common
Anthophora plumipes,bees,common
Anthophora quadrimaculata,bees,common
Anthophora retusa,bees,common
Bombus alpinus,bees,common
Bombus balteatus,bees,common
Bombus barbutellus,bees,common
Bombus bohemicus,bees,common
Bombus campestris,bees,common
Bombus cingulatus,bees,common
Bombus consobrinus,bees,common
Bombus cryptarum,bees,common
Bombus distinguendus,bees,common
Bombus flavidus,bees,common
Bombus hortorum,bees,common
Bombus humilis,bees,common
Bombus hypnorum,bees,common
Bombus jonellus,bees,common
Bombus lapidarius,bees,common
Bombus lapponicus,bees,common
Bombus lucorum,bees,common
Bombus magnus,bees,common
Bombus mendax,bees,common
Bombus mesomelas,bees,common
Bombus monticola,bees,common
Bombus muscorum,bees,common
Bombus norvegicus,bees,common
Bombus pascuorum,bees,common
Bombus pratorum,bees,common
Bombus pyrenaeus,bees,common
Bombus quadricolor,bees,common
Bombus ruderarius,bees,common
Bombus ruderatus,bees,common
Bombus rupestris,bees,common
Bombus sichelii,bees,common
Bombus soroeensis,bees,common
Bombus sporadicus,bees,common
Bombus subterraneus,bees,common
Bombus sylvarum,bees,common
Bombus sylvestris,bees,common
Bombus terrestris,bees,common
Bombus vestalis,bees,common
Bombus veteranus,bees,common
Bombus wurflenii,bees,common
Ceratina cucurbitina,bees,common
Ceratina cyanea,bees,common
Chelostoma campanularum,bees,common
Chelostoma distinctum,bees,common
Chelostoma florisomne,bees,common
Chelostoma rapunculi,bees,common
Coelioxys conoideus,bees,common
Coelioxys elongatus,bees,common
Coelioxys inermis,bees,common
Coelioxys mandibularis,bees,common
Coelioxys quadridentatus,bees,common
Coelioxys rufescens,bees,common
Colletes cunicularius,bees,common
Colletes daviesanus,bees,common
Colletes floralis,bees,common
Colletes fodiens,bees,common
Colletes halophilus,bees,common
Colletes hederae,bees,common
Colletes marginatus,bees,common
Colletes similis,bees,common
Colletes succinctus,bees,common
Dasypoda hirtipes,bees,common
Dufourea dentiventris,bees,common
Epeolus cruciger,bees,common
Epeolus variegatus,bees,common
Eucera longicornis,bees,common
Eucera nigrescens,bees,common
Halictus fulvipes,bees,common
Halictus maculatus,bees,common
Halictus quadricinctus,bees,common
Halictus rubicundus,bees,common
Halictus scabiosae,bees,common
Halictus sexcinctus,bees,common
Halictus simplex,bees,common
Heriades crenulata,bees,common
Heriades truncorum,bees,common
Hoplitis adunca,bees,common
Hoplitis claviventris,bees,common
Hoplitis leucomelana,bees,common
Hoplitis mitis,bees,common
Hoplitis tuberculata,bees,common
Hylaeus angustatus,bees,common
Hylaeus annulatus,bees,common
Hylaeus brevicornis,bees,common
Hylaeus cardioscapus,bees,common
Hylaeus clypearis,bees,common
Hylaeus communis,bees,common
Hylaeus confusus,bees,common
Hylaeus cornutus,bees,common
Hylaeus difformis,bees,common
Hylaeus dilatatus,bees,common
Hylaeus gibbus,bees,common
Hylaeus gredleri,bees,common
Hylaeus hyalinatus,bees,common
Hylaeus imparilis,bees,common
