region_50,endYear,taxo_group,nsites,mean_nsurv,nrec
alpine,1921,bees,25,1.6,431
alpine,1921,hoverflies,3,1.66666666666667,8
alpine,1922,bees,25,1.84,499
alpine,1922,hoverflies,4,2,79
alpine,1923,bees,23,2.17391304347826,520
alpine,1923,hoverflies,7,1.14285714285714,24
alpine,1924,bees,32,1.78125,997
alpine,1924,hoverflies,13,1.30769230769231,51
alpine,1925,bees,28,1.82142857142857,781
alpine,1925,hoverflies,3,1,4
alpine,1926,bees,27,2.22222222222222,1159
alpine,1926,hoverflies,6,1.83333333333333,53
alpine,1927,bees,20,1.9,584
alpine,1928,bees,18,2.33333333333333,350
alpine,1928,hoverflies,7,1.14285714285714,10
alpine,1929,bees,31,1.70967741935484,311
alpine,1929,hoverflies,3,1,14
alpine,1930,bees,28,1.85714285714286,498
alpine,1930,hoverflies,4,1,9
alpine,1931,bees,28,1.67857142857143,394
alpine,1931,hoverflies,2,1.5,4
alpine,1932,bees,28,2.10714285714286,1315
alpine,1933,bees,35,2.05714285714286,1653
alpine,1933,hoverflies,3,1,3
alpine,1934,bees,37,2.16216216216216,1632
alpine,1934,hoverflies,1,1,3
alpine,1935,bees,44,2,1465
alpine,1935,hoverflies,5,1,19
alpine,1936,bees,28,2.28571428571429,747
alpine,1936,hoverflies,4,1,4
alpine,1937,bees,39,1.61538461538462,310
alpine,1937,hoverflies,5,1,11
alpine,1938,bees,33,1.84848484848485,565
alpine,1938,hoverflies,8,1.25,21
alpine,1939,bees,35,1.88571428571429,1074
alpine,1939,hoverflies,7,1.14285714285714,19
alpine,1940,bees,33,1.90909090909091,707
alpine,1940,hoverflies,4,1,4
alpine,1941,bees,26,1.84615384615385,712
alpine,1941,hoverflies,4,1.5,23
alpine,1942,bees,31,2.12903225806452,1418
alpine,1942,hoverflies,6,1.5,16
alpine,1943,bees,29,1.82758620689655,892
alpine,1943,hoverflies,5,1.4,11
alpine,1944,bees,24,1.95833333333333,1094
alpine,1944,hoverflies,4,1.25,23
alpine,1945,bees,21,2.04761904761905,895
alpine,1945,hoverflies,3,1,5
alpine,1946,bees,38,1.86842105263158,756
alpine,1946,hoverflies,13,1.23076923076923,105
alpine,1947,bees,38,1.94736842105263,626
alpine,1947,hoverflies,8,1.125,19
alpine,1948,bees,57,1.56140350877193,526
alpine,1948,hoverflies,9,1.33333333333333,31
alpine,1949,bees,52,1.63461538461538,711
alpine,1949,hoverflies,11,1.36363636363636,43
alpine,1950,bees,50,1.84,631
alpine,1950,hoverflies,7,1,13
alpine,1951,bees,57,1.7719298245614,558
alpine,1951,hoverflies,11,1.27272727272727,22
alpine,1952,bees,39,1.69230769230769,311
alpine,1952,hoverflies,7,1.28571428571429,15
alpine,1953,bees,42,1.5952380952381,712
alpine,1953,hoverflies,8,1.125,11
alpine,1954,bees,36,1.63888888888889,353
alpine,1954,hoverflies,4,2,17
alpine,1955,bees,64,1.484375,966
alpine,1955,hoverflies,13,1,26
alpine,1956,bees,57,1.35087719298246,374
alpine,1956,hoverflies,7,1,13
alpine,1957,bees,53,1.33962264150943,1205
alpine,1957,hoverflies,8,1.25,19
alpine,1958,bees,56,1.5,673
alpine,1958,hoverflies,16,1.3125,85
alpine,1959,bees,76,1.89473684210526,1921
alpine,1959,hoverflies,21,1.23809523809524,65
alpine,1960,bees,60,1.68333333333333,1226
alpine,1960,hoverflies,19,1.26315789473684,47
alpine,1961,bees,69,1.71014492753623,840
alpine,1961,hoverflies,15,1.26666666666667,54
alpine,1962,bees,54,1.64814814814815,555
alpine,1962,hoverflies,11,1.18181818181818,35
alpine,1963,bees,68,1.57352941176471,779
alpine,1963,hoverflies,16,1.1875,54
alpine,1964,bees,56,1.75,857
alpine,1964,hoverflies,30,1.2,114
alpine,1965,bees,72,1.72222222222222,1002
alpine,1965,hoverflies,14,1.57142857142857,65
alpine,1966,bees,69,1.46376811594203,1245
alpine,1966,hoverflies,27,1.25925925925926,231
alpine,1967,bees,67,1.59701492537313,1674
alpine,1967,hoverflies,19,1.26315789473684,146
alpine,1968,bees,61,1.72131147540984,1434
alpine,1968,hoverflies,21,1.42857142857143,174
alpine,1969,bees,63,1.68253968253968,884
alpine,1969,hoverflies,19,1.47368421052632,124
alpine,1970,bees,56,1.51785714285714,567
alpine,1970,hoverflies,20,1.3,194
alpine,1971,bees,54,1.61111111111111,699
alpine,1971,hoverflies,21,1.23809523809524,184
alpine,1972,bees,56,1.78571428571429,780
alpine,1972,hoverflies,28,1.21428571428571,107
alpine,1973,bees,56,1.51785714285714,1282
alpine,1973,hoverflies,26,1.19230769230769,184
alpine,1974,bees,55,1.74545454545455,1031
alpine,1974,hoverflies,34,1.20588235294118,152
alpine,1975,bees,54,1.7037037037037,1018
alpine,1975,hoverflies,23,1.1304347826087,78
alpine,1976,bees,59,1.45762711864407,887
alpine,1976,hoverflies,25,1.16,103
alpine,1977,bees,51,1.92156862745098,846
alpine,1977,hoverflies,25,1.24,161
alpine,1978,bees,51,1.80392156862745,745
alpine,1978,hoverflies,35,1.34285714285714,216
alpine,1979,bees,57,1.84210526315789,661
alpine,1979,hoverflies,36,1.16666666666667,325
alpine,1980,bees,56,2.01785714285714,1295
alpine,1980,hoverflies,35,1.57142857142857,205
alpine,1981,bees,65,1.86153846153846,955
alpine,1981,hoverflies,44,1.34090909090909,728
alpine,1982,bees,67,1.80597014925373,1414
alpine,1982,hoverflies,35,1.45714285714286,536
alpine,1983,bees,55,1.94545454545455,1080
alpine,1983,hoverflies,36,1.25,856
alpine,1984,bees,57,1.96491228070175,1028
alpine,1984,hoverflies,35,1.37142857142857,457
alpine,1985,bees,55,1.78181818181818,643
alpine,1985,hoverflies,38,1.31578947368421,475
alpine,1986,bees,48,2.25,1661
alpine,1986,hoverflies,53,1.26415094339623,348
alpine,1987,bees,46,1.82608695652174,632
alpine,1987,hoverflies,27,1.25925925925926,78
alpine,1988,bees,57,1.6140350877193,814
alpine,1988,hoverflies,44,1.43181818181818,554
alpine,1989,bees,49,1.91836734693878,1526
alpine,1989,hoverflies,46,1.8695652173913,779
alpine,1990,bees,60,1.8,1075
alpine,1990,hoverflies,51,1.37254901960784,254
alpine,1991,bees,56,2.30357142857143,4053
alpine,1991,hoverflies,26,1.23076923076923,394
alpine,1992,bees,72,2.125,5996
alpine,1992,hoverflies,48,1.39583333333333,256
alpine,1993,bees,60,2.28333333333333,3533
alpine,1993,hoverflies,40,1.55,427
alpine,1994,bees,64,2.171875,3840
alpine,1994,hoverflies,62,1.83870967741935,738
alpine,1995,bees,62,2.01612903225806,2263
alpine,1995,hoverflies,36,1.47222222222222,422
alpine,1996,bees,60,2.36666666666667,2452
alpine,1996,hoverflies,29,1.24137931034483,297
alpine,1997,bees,58,2.41379310344828,14128
alpine,1997,hoverflies,50,1.38,605
alpine,1998,bees,61,2.21311475409836,2318
alpine,1998,hoverflies,47,1.27659574468085,735
alpine,1999,bees,58,2.25862068965517,1925
alpine,1999,hoverflies,44,1.22727272727273,202
alpine,2000,bees,54,2.46296296296296,4381
alpine,2000,hoverflies,37,1.40540540540541,533
alpine,2001,bees,55,2.2,3834
alpine,2001,hoverflies,29,1.51724137931034,648
alpine,2002,bees,49,2.18367346938776,4444
alpine,2002,hoverflies,25,1.4,110
alpine,2003,bees,69,1.97101449275362,2193
alpine,2003,hoverflies,37,1.54054054054054,160
alpine,2004,bees,59,2.10169491525424,2777
alpine,2004,hoverflies,44,1.31818181818182,267
alpine,2005,bees,69,1.95652173913043,4595
alpine,2005,hoverflies,45,1.35555555555556,405
alpine,2006,bees,72,1.97222222222222,8694
alpine,2006,hoverflies,76,1.71052631578947,303
alpine,2007,bees,92,2.08695652173913,2229
alpine,2007,hoverflies,83,1.69879518072289,493
alpine,2008,bees,88,1.81818181818182,5411
alpine,2008,hoverflies,57,1.45614035087719,919
alpine,2009,bees,96,2.19791666666667,4886
alpine,2009,hoverflies,65,1.67692307692308,799
