gridID_50,region_50,taxo_group,nyear,nyear_b70,nyear_a70
219,mediterranean,bees,12,1,11
219,mediterranean,hoverflies,1,0,1
272,mediterranean,bees,32,3,29
272,mediterranean,hoverflies,8,0,8
273,mediterranean,bees,7,4,3
274,mediterranean,bees,60,26,34
274,mediterranean,hoverflies,22,2,20
275,mediterranean,bees,2,0,2
324,mediterranean,bees,45,11,34
324,mediterranean,hoverflies,7,0,7
325,mediterranean,bees,15,1,14
325,mediterranean,hoverflies,7,0,7
326,mediterranean,bees,28,11,17
326,mediterranean,hoverflies,14,1,13
327,mediterranean,bees,15,1,14
327,mediterranean,hoverflies,20,1,19
377,mediterranean,bees,49,10,39
377,mediterranean,hoverflies,9,0,9
378,mediterranean,bees,12,6,6
378,mediterranean,hoverflies,4,0,4
379,mediterranean,bees,15,2,13
379,mediterranean,hoverflies,11,0,11
380,mediterranean,bees,30,7,23
380,mediterranean,hoverflies,18,2,16
429,mediterranean,bees,51,10,41
429,mediterranean,hoverflies,22,1,21
430,mediterranean,bees,15,3,12
430,mediterranean,hoverflies,2,0,2
431,mediterranean,bees,14,4,10
431,mediterranean,hoverflies,3,0,3
432,mediterranean,bees,24,7,17
432,mediterranean,hoverflies,6,1,5
433,mediterranean,bees,27,9,18
433,mediterranean,hoverflies,6,0,6
434,mediterranean,bees,3,1,2
482,mediterranean,bees,13,2,11
482,mediterranean,hoverflies,3,0,3
483,mediterranean,bees,1,0,1
483,mediterranean,hoverflies,5,0,5
484,mediterranean,bees,17,1,16
484,mediterranean,hoverflies,5,0,5
485,mediterranean,bees,24,7,17
485,mediterranean,hoverflies,8,1,7
486,mediterranean,bees,23,8,15
486,mediterranean,hoverflies,10,0,10
487,atlantic,bees,35,15,20
487,atlantic,hoverflies,16,0,16
488,atlantic,bees,16,5,11
488,atlantic,hoverflies,1,0,1
534,mediterranean,bees,37,6,31
534,mediterranean,hoverflies,14,0,14
535,mediterranean,bees,17,4,13
535,mediterranean,hoverflies,5,1,4
536,mediterranean,bees,17,7,10
536,mediterranean,hoverflies,3,0,3
537,mediterranean,bees,6,1,5
537,mediterranean,hoverflies,4,0,4
538,mediterranean,bees,30,13,17
538,mediterranean,hoverflies,13,1,12
539,mediterranean,bees,14,5,9
539,mediterranean,hoverflies,15,0,15
540,atlantic,bees,29,5,24
540,atlantic,hoverflies,14,0,14
541,atlantic,bees,18,4,14
541,atlantic,hoverflies,11,0,11
542,atlantic,bees,5,1,4
542,atlantic,hoverflies,1,0,1
587,mediterranean,bees,13,3,10
588,mediterranean,bees,3,1,2
588,mediterranean,hoverflies,5,1,4
589,mediterranean,bees,6,2,4
589,mediterranean,hoverflies,7,0,7
590,mediterranean,bees,7,2,5
590,mediterranean,hoverflies,5,0,5
591,mediterranean,bees,19,2,17
591,mediterranean,hoverflies,7,0,7
592,mediterranean,bees,31,9,22
592,mediterranean,hoverflies,12,0,12
593,atlantic,bees,8,1,7
593,atlantic,hoverflies,3,0,3
594,atlantic,bees,14,3,11
594,atlantic,hoverflies,5,0,5
639,mediterranean,bees,24,5,19
639,mediterranean,hoverflies,5,0,5
640,mediterranean,bees,4,2,2
641,mediterranean,bees,4,2,2
641,mediterranean,hoverflies,2,0,2
642,mediterranean,bees,17,9,8
642,mediterranean,hoverflies,8,0,8
643,mediterranean,bees,29,3,26
643,mediterranean,hoverflies,12,1,11
644,mediterranean,bees,32,15,17
644,mediterranean,hoverflies,9,1,8
645,mediterranean,bees,23,5,18
645,mediterranean,hoverflies,4,0,4
646,atlantic,bees,15,7,8
646,atlantic,hoverflies,2,0,2
647,atlantic,bees,6,1,5
647,atlantic,hoverflies,13,0,13
691,mediterranean,bees,12,3,9
691,mediterranean,hoverflies,7,0,7
692,mediterranean,bees,9,1,8
692,mediterranean,hoverflies,2,0,2
693,mediterranean,bees,3,0,3
693,mediterranean,hoverflies,2,0,2
694,mediterranean,bees,10,5,5
694,mediterranean,hoverflies,1,0,1
695,mediterranean,bees,12,1,11
695,mediterranean,hoverflies,8,0,8
696,mediterranean,bees,36,7,29
696,mediterranean,hoverflies,8,0,8
697,mediterranean,bees,13,4,9
697,mediterranean,hoverflies,2,0,2
698,atlantic,bees,4,0,4
698,atlantic,hoverflies,6,0,6
699,atlantic,bees,2,0,2
699,atlantic,hoverflies,2,0,2
700,atlantic,bees,4,1,3
700,atlantic,hoverflies,4,0,4
743,mediterranean,bees,27,13,14
743,mediterranean,hoverflies,13,1,12
744,mediterranean,bees,23,2,21
744,mediterranean,hoverflies,10,0,10
745,mediterranean,bees,14,0,14
745,mediterranean,hoverflies,5,0,5
746,mediterranean,bees,11,4,7
746,mediterranean,hoverflies,12,0,12
747,mediterranean,bees,5,0,5
747,mediterranean,hoverflies,2,0,2
748,mediterranean,bees,4,0,4
748,mediterranean,hoverflies,14,0,14
749,mediterranean,bees,9,2,7
750,mediterranean,bees,9,3,6
751,atlantic,bees,7,2,5
751,atlantic,hoverflies,5,0,5
752,atlantic,bees,7,1,6
752,atlantic,hoverflies,7,0,7
795,mediterranean,bees,19,4,15
795,mediterranean,hoverflies,6,0,6
796,mediterranean,bees,14,4,10
796,mediterranean,hoverflies,10,0,10
797,mediterranean,bees,7,0,7
797,mediterranean,hoverflies,4,0,4
798,mediterranean,bees,2,1,1
