gridID_50,region_50,taxo_group,nyear,nyear_b70,nyear_a70,nb_records
219,mediterranean,bees,13,1,12,139
219,mediterranean,hoverflies,1,0,1,1
272,mediterranean,bees,35,4,31,5058
272,mediterranean,hoverflies,9,0,9,19
273,mediterranean,bees,7,4,3,63
274,mediterranean,bees,66,28,38,3050
274,mediterranean,hoverflies,29,3,26,259
275,mediterranean,bees,3,0,3,27
324,mediterranean,bees,47,13,34,3911
324,mediterranean,hoverflies,10,1,9,35
325,mediterranean,bees,17,1,16,550
325,mediterranean,hoverflies,7,0,7,20
326,mediterranean,bees,31,12,19,748
326,mediterranean,hoverflies,16,1,15,69
327,mediterranean,bees,18,2,16,745
327,mediterranean,hoverflies,20,1,19,72
377,mediterranean,bees,51,11,40,2313
377,mediterranean,hoverflies,10,0,10,15
378,mediterranean,bees,15,6,9,81
378,mediterranean,hoverflies,4,0,4,6
379,mediterranean,bees,18,2,16,240
379,mediterranean,hoverflies,12,0,12,17
380,mediterranean,bees,31,8,23,758
380,mediterranean,hoverflies,18,2,16,107
429,mediterranean,bees,52,10,42,4225
429,mediterranean,hoverflies,22,1,21,74
430,mediterranean,bees,15,3,12,163
430,mediterranean,hoverflies,2,0,2,2
431,mediterranean,bees,14,4,10,278
431,mediterranean,hoverflies,4,0,4,4
432,mediterranean,bees,27,8,19,812
432,mediterranean,hoverflies,8,2,6,26
433,mediterranean,bees,29,11,18,592
433,mediterranean,hoverflies,7,0,7,14
434,mediterranean,bees,3,1,2,20
482,mediterranean,bees,16,4,12,505
482,mediterranean,hoverflies,3,0,3,4
483,mediterranean,bees,2,0,2,29
483,mediterranean,hoverflies,5,0,5,14
484,mediterranean,bees,18,1,17,530
484,mediterranean,hoverflies,6,0,6,10
485,mediterranean,bees,27,8,19,464
485,mediterranean,hoverflies,9,2,7,26
486,mediterranean,bees,25,10,15,675
486,mediterranean,hoverflies,11,0,11,26
487,atlantic,bees,40,16,24,663
487,atlantic,hoverflies,19,1,18,86
