Species,Order,Family,Genus,Sociality,STI_Species_temperature_index,Larval_diet_breadth,ITD_F_mm,Adult_Body_size,Larval_nutrition,Flight_ability,Flight_height,scientificNameAuthorship,year_description,European_Category,European_Category_2025,Sociality_simplified,Adult_Body_size_num,taxo_group
Afranthidium carduele,Hymenoptera,Megachilidae,Afranthidium,solitary,13.51920196,polylectic,2.06,small,pollen/nectar,,,"(Morawitz, 1876)",1876,LC,LC,solitary,1,bees
Afranthidium schulthessii,Hymenoptera,Megachilidae,Afranthidium,solitary,13.41156712,oligolectic,2.17,small,pollen/nectar,,,"(Friese, 1897)",1897,LC,LC,solitary,1,bees
Aglaoapis tridentata,Hymenoptera,Megachilidae,Aglaoapis,cleptoparasite,9.974786854,polylectic,1.81,small,pollen/nectar,,,"(Nylander, 1848)",1848,LC,LC,parasite,1,bees
Amegilla albigena,Hymenoptera,Apidae,Amegilla,solitary,14.2780647,polylectic,3.12,medium,pollen/nectar,,,"(Lepeletier, 1841)",1841,LC,LC,solitary,3,bees
Amegilla andresi,Hymenoptera,Apidae,Amegilla,solitary,16.53177731,,,,pollen/nectar,,,"(Friese, 1914)",1914,DD,DD,solitary,,bees
Amegilla fasciata,Hymenoptera,Apidae,Amegilla,solitary,14.63991131,,3.95,medium,pollen/nectar,,,"(Fabricius, 1775)",1775,LC,LC,solitary,3,bees
Amegilla garrula,Hymenoptera,Apidae,Amegilla,solitary,13.40456321,,4.45,medium,pollen/nectar,,,"(Rossi, 1790)",1790,LC,LC,solitary,3,bees
Amegilla ochroleuca,Hymenoptera,Apidae,Amegilla,solitary,11.67173733,,3.82,medium,pollen/nectar,,,"(Pérez, 1879)",1879,LC,LC,solitary,3,bees
Amegilla quadrifasciata,Hymenoptera,Apidae,Amegilla,solitary,15.6308243,polylectic,4.02,medium,pollen/nectar,,,"(de Villers, 1789)",1789,LC,LC,solitary,3,bees
Amegilla salviae,Hymenoptera,Apidae,Amegilla,solitary,12.54791758,,3.35,medium,pollen/nectar,,,"(Morawitz, 1876)",1876,NT,NT,solitary,3,bees
Amegilla savignyi,Hymenoptera,Apidae,Amegilla,solitary,13.55689632,,3.86,medium,pollen/nectar,,,"(Lepeletier, 1841)",1841,LC,LC,solitary,3,bees
Amegilla velocissima,Hymenoptera,Apidae,Amegilla,solitary,14.86883837,,3.09,medium,pollen/nectar,,,"(Fedtschenko, 1875)",1875,DD,DD,solitary,3,bees
Ammobates armeniacus,Hymenoptera,Apidae,Ammobates,cleptoparasite,16.35374031,,1.78,small,pollen/nectar,,,"Morawitz, 1876",1876,VU,NT,parasite,1,bees
Ammobates biastoides,Hymenoptera,Apidae,Ammobates,cleptoparasite,19.34711773,oligolectic,1.39,small,pollen/nectar,,,"(Friese, 1895)",1895,DD,DD,parasite,1,bees
