Group;Family;scientificName
bees;Andrenidae;Andrena montana
bees;Andrenidae;Andrena probata
bees;Andrenidae;Andrena ranunculorum
bees;Andrenidae;Panurginus herzi
bees;Andrenidae;Panurginus montanus
bees;Apidae;Bombus alpinus
bees;Apidae;Bombus balteatus
bees;Apidae;Bombus flavidus
bees;Apidae;Bombus gerstaeckeri
bees;Apidae;Bombus hyperboreus
bees;Apidae;Bombus lapponicus
bees;Apidae;Bombus mendax
bees;Apidae;Bombus monticola
bees;Apidae;Bombus mucidus
bees;Apidae;Bombus pyrenaeus
bees;Apidae;Bombus sichelii
bees;Apidae;Epeolus alpinus
bees;Apidae;Nomada tormentillae
bees;Colletidae;Colletes impunctatus
bees;Colletidae;Colletes sierrensis
bees;Halictidae;Dufourea alpina
bees;Halictidae;Dufourea paradoxa
bees;Halictidae;Halictus carinthiacus
bees;Halictidae;Lasioglossum alpigenum
bees;Halictidae;Lasioglossum bavaricum
bees;Halictidae;Lasioglossum cupromicans
bees;Halictidae;Seladonia gavarnica
bees;Halictidae;Sphecodes pseudofasciatus
bees;Megachilidae;Anthidium montanum
bees;Megachilidae;Chelostoma grande
bees;Megachilidae;Coelioxys lanceolatus
bees;Megachilidae;Hoplitis dalmatica
bees;Megachilidae;Osmia alticola
bees;Megachilidae;Osmia nigriventris
bees;Megachilidae;Stelis franconica
