Family,TAXON,European category,European criteria,"EU 27
regional category",EU 27 regional criteria,Endemic to Europe,Endemic to EU 27
Andrenidae,Andrena abbreviata,LC,,LC,,,
Andrenidae,Andrena aberrans,VU,B2ab(iii),VU,B2ab(iii),,
Andrenidae,Andrena abjecta,DD,,DD,,,
Andrenidae,Andrena abrupta,LC,,LC,,,
Andrenidae,Andrena acerba,DD,,DD,,,
Andrenidae,Andrena aciculata,DD,,DD,,,
Andrenidae,Andrena acuta,LC,,LC,,Yes,Yes
Andrenidae,Andrena aegyptiaca,LC,,LC,,,
Andrenidae,Andrena aegypticola,NT,B2b(iii),NT,B2b(iii),,
Andrenidae,Andrena aeneiventris,LC,,LC,,,
Andrenidae,Andrena aerinifrons,LC,,LC,,,
Andrenidae,Andrena afrensis,LC,,LC,,Yes,
Andrenidae,Andrena afzeliella,LC,,LC,,,
Andrenidae,Andrena agilissima,LC,,LC,,,
Andrenidae,Andrena agnata,DD,,DD,,,
Andrenidae,Andrena albopunctata,LC,,LC,,,
Andrenidae,Andrena alfkenella,LC,,LC,,,
Andrenidae,Andrena alfkenelloides,LC,,LC,,,
Andrenidae,Andrena allosa,NT,B2b(iii),NT,B2b(iii),Yes,
Andrenidae,Andrena alluaudi,LC,,LC,,,
Andrenidae,Andrena alma,LC,,LC,,Yes,Yes
Andrenidae,Andrena alutacea,LC,,LC,,,
Andrenidae,Andrena amieti,LC,,LC,,,
Andrenidae,Andrena ampla,LC,,LC,,,
Andrenidae,Andrena anatolica,LC,,LC,,,
Andrenidae,Andrena angustior,LC,,LC,,Yes,
Andrenidae,Andrena anthrisci,LC,,LC,,Yes,
Andrenidae,Andrena antigana,LC,,LC,,,
Andrenidae,Andrena antonellae,DD,,DD,,Yes,Yes
Andrenidae,Andrena apicata,LC,,LC,,,
Andrenidae,Andrena apiformis,DD,,DD,,,
Andrenidae,Andrena argentata,LC,,LC,,,
Andrenidae,Andrena asiatica,NA,,NA,,,
Andrenidae,Andrena asperrima,LC,,LC,,,
Andrenidae,Andrena asperula,DD,,,,,
Andrenidae,Andrena assimilis,LC,,LC,,,
Andrenidae,Andrena astica,LC,,LC,,,
Andrenidae,Andrena athenensis,LC,,LC,,,
Andrenidae,Andrena atrata,DD,,DD,,,
Andrenidae,Andrena atrotegularis,DD,,DD,,,
Andrenidae,Andrena avara,DD,,DD,,,
Andrenidae,Andrena baetica,LC,,LC,,Yes,Yes
Andrenidae,Andrena barbareae,LC,,LC,,,
Andrenidae,Andrena barbilabris,LC,,LC,,,
Andrenidae,Andrena batava,LC,,LC,,Yes,
Andrenidae,Andrena bayona,LC,,LC,,Yes,Yes
Andrenidae,Andrena bellidis,LC,,LC,,,
Andrenidae,Andrena benoisti,LC,,LC,,Yes,Yes
Andrenidae,Andrena biarmica,DD,,DD,,,
Andrenidae,Andrena bicolor,LC,,LC,,,
Andrenidae,Andrena bicolorata,LC,,LC,,,
Andrenidae,Andrena biguttata,LC,,LC,,,
Andrenidae,Andrena bimaculata,LC,,LC,,,
Andrenidae,Andrena binominata,LC,,LC,,,
Andrenidae,Andrena bisulcata,LC,,LC,,,
Andrenidae,Andrena blanda,LC,,LC,,,
Andrenidae,Andrena boyerella,CR,D,CR,D,,
Andrenidae,Andrena braunsiana,DD,,DD,,,
Andrenidae,Andrena brumanensis,LC,,LC,,,
Andrenidae,Andrena bucephala,LC,,LC,,Yes,
Andrenidae,Andrena caneae,LC,,LC,,,
Andrenidae,Andrena canohirta,LC,,LC,,,
Andrenidae,Andrena cantiaca,DD,,DD,,,
Andrenidae,Andrena capillosa,DD,,,,,
Andrenidae,Andrena caprimulga,DD,,,,,
Andrenidae,Andrena catula,LC,,LC,,Yes,Yes
Andrenidae,Andrena cervina,LC,,LC,,,
Andrenidae,Andrena chaetogastra,CR,D,CR,D,Yes,Yes
Andrenidae,Andrena chalcogastra,NT,B1ab(iii)+2ab(iii),NT,B1ab(iii)+2ab(iii),Yes,Yes
Andrenidae,Andrena chelma,CR,D,CR,D,Yes,Yes
Andrenidae,Andrena chersona,EN,"B2ab(ii,iii,v)",,,,
Andrenidae,Andrena chrysopus,NT,B2b(iii),NT,B2b(iii),,
Andrenidae,Andrena chrysopyga,DD,,DD,,,
Andrenidae,Andrena chrysosceles,LC,,LC,,,
Andrenidae,Andrena cilissaeformis,LC,,LC,,,
Andrenidae,Andrena cineraria,LC,,LC,,,
Andrenidae,Andrena cinerea,LC,,LC,,,
Andrenidae,Andrena cinereophila,LC,,LC,,,
Andrenidae,Andrena clarkella,LC,,LC,,,
Andrenidae,Andrena clusia,CR,B2ab(iii),CR,B2ab(iii),,
Andrenidae,Andrena clypella,LC,,LC,,,
Andrenidae,Andrena coitana,LC,,LC,,,
Andrenidae,Andrena colletiformis,LC,,LC,,,
Andrenidae,Andrena combaella,LC,,LC,,,
Andrenidae,Andrena combinata,LC,,LC,,,
Andrenidae,Andrena compta,NT,"B2b(ii,iii)",NT,"B2b(ii,iii)",,
Andrenidae,Andrena comta,EN,"B2ab(iii,v)",CR,"B2ab(iii,v)",,
Andrenidae,Andrena concinna,LC,,LC,,Yes,
Andrenidae,Andrena confinis,LC,,LC,,,
Andrenidae,Andrena congruens,LC,,LC,,,
Andrenidae,Andrena contracta,NT,B2a,NT,B2a,Yes,Yes
Andrenidae,Andrena corax,LC,,LC,,Yes,Yes
Andrenidae,Andrena cordialis,LC,,LC,,,
Andrenidae,Andrena crassana,LC,,LC,,,
Andrenidae,Andrena crecca,LC,,LC,,,
Andrenidae,Andrena crepidis,LC,,LC,,Yes,Yes
Andrenidae,Andrena croatica,DD,,DD,,Yes,Yes
Andrenidae,Andrena croceiventris,NT,B2b(v),NT,B2b(v),Yes,Yes
Andrenidae,Andrena curiosa,NA,,NA,,,
Andrenidae,Andrena curtivalvis,NA,,NA,,,
Andrenidae,Andrena curvana,LC,,LC,,,
Andrenidae,Andrena curvungula,LC,,LC,,,
Andrenidae,Andrena cussariensis,NA,,,,,
Andrenidae,Andrena cyanomicans,LC,,LC,,Yes,Yes
Andrenidae,Andrena cypria,NT,B2b(iii),NT,B2b(iii),,
Andrenidae,Andrena damara,DD,,DD,,Yes,Yes
Andrenidae,Andrena danuvia,LC,,LC,,,
Andrenidae,Andrena dargia,DD,,DD,,,
Andrenidae,Andrena decipiens,LC,,LC,,,
Andrenidae,Andrena delphiensis,NT,B2b(iii),NT,B2b(iii),,
Andrenidae,Andrena denticulata,LC,,LC,,,
Andrenidae,Andrena dentiventris,NA,,,,,
Andrenidae,Andrena derbentina,NA,,NA,,,
Andrenidae,Andrena dinizi,LC,,LC,,Yes,Yes
Andrenidae,Andrena discors,LC,,LC,,,
Andrenidae,Andrena distinguenda,LC,,LC,,,
Andrenidae,Andrena djelfensis,LC,,LC,,,
Andrenidae,Andrena donata,LC,,LC,,Yes,Yes
Andrenidae,Andrena dorsalis,LC,,LC,,,
Andrenidae,Andrena dorsata,LC,,LC,,,
Andrenidae,Andrena dourada,NT,B2b(iii),NT,B2b(iii),Yes,Yes
Andrenidae,Andrena doursana,LC,,LC,,,
Andrenidae,Andrena dubiosa,NT,D2,NT,D2,,
Andrenidae,Andrena ebmerella,DD,,DD,,,
Andrenidae,Andrena ehnbergi,NA,,,,,
Andrenidae,Andrena elata,LC,,LC,,Yes,Yes
