Genus,Species,TAXON,European_Category,Taxa_group
Anasimyia,contracta,Anasimyia contracta,LC,Hoverfly
Anasimyia,femorata,Anasimyia femorata,EN,Hoverfly
Anasimyia,interpuncta,Anasimyia interpuncta,LC,Hoverfly
Anasimyia,lunulata,Anasimyia lunulata,LC,Hoverfly
Anasimyia,transfuga,Anasimyia transfuga,LC,Hoverfly
Arctosyrphus,willingii,Arctosyrphus willingii,DD,Hoverfly
Baccha,elongata,Baccha elongata,LC,Hoverfly
Blera,eoa,Blera eoa,EN,Hoverfly
Blera,fallax,Blera fallax,LC,Hoverfly
Brachyopa,minima,Brachyopa minima,CR,Hoverfly
Blera,nitens,Blera nitens,DD,Hoverfly
Brachyopa,atlantea,Brachyopa atlantea,DD,Hoverfly
Brachyopa,bicolor,Brachyopa bicolor,LC,Hoverfly
Brachyopa,bimaculosa,Brachyopa bimaculosa,EN,Hoverfly
Brachyopa,cinerea,Brachyopa cinerea,VU,Hoverfly
Brachyopa,dorsata,Brachyopa dorsata,LC,Hoverfly
Brachyopa,grunewaldensis,Brachyopa grunewaldensis,EN,Hoverfly
Brachyopa,insensilis,Brachyopa insensilis,LC,Hoverfly
Brachyopa,maculipennis,Brachyopa maculipennis,EN,Hoverfly
Brachyopa,obscura,Brachyopa obscura,LC,Hoverfly
Brachyopa,panzeri,Brachyopa panzeri,LC,Hoverfly
Brachyopa,pilosa,Brachyopa pilosa,LC,Hoverfly
Brachyopa,plena,Brachyopa plena,NT,Hoverfly
Brachyopa,quadrimaculosa,Brachyopa quadrimaculosa,EN,Hoverfly
Brachyopa,scutellaris,Brachyopa scutellaris,LC,Hoverfly
Brachyopa,silviae,Brachyopa silviae,EN,Hoverfly
Brachyopa,testacea,Brachyopa testacea,LC,Hoverfly
Brachyopa,vernalis,Brachyopa vernalis,EN,Hoverfly
Brachyopa,vittata,Brachyopa vittata,NT,Hoverfly
Brachyopa,zhelochovtsevi,Brachyopa zhelochovtsevi,DD,Hoverfly
Brachypalpoides,lentus,Brachypalpoides lentus,LC,Hoverfly
Brachypalpus,chrysites,Brachypalpus chrysites,VU,Hoverfly
Brachypalpus,laphriformis,Brachypalpus laphriformis,LC,Hoverfly
Brachypalpus,valgus,Brachypalpus valgus,LC,Hoverfly
Caliprobola,speciosa,Caliprobola speciosa,LC,Hoverfly
Callicera,aenea,Callicera aenea,VU,Hoverfly
Callicera,aurata,Callicera aurata,VU,Hoverfly
Callicera,fagesii,Callicera fagesii,EN,Hoverfly
Callicera,macquarti,Callicera macquarti,EN,Hoverfly
Callicera,rufa,Callicera rufa,VU,Hoverfly
Callicera,scintilla,Callicera scintilla,CR,Hoverfly
Callicera,spinolae,Callicera spinolae,VU,Hoverfly
Ceriana,conopsoides,Ceriana conopsoides,LC,Hoverfly
Ceriana,glaebosa,Ceriana glaebosa,EN,Hoverfly
Ceriana,vespiformis,Ceriana vespiformis,LC,Hoverfly
Chalcosyrphus,eumerus,Chalcosyrphus eumerus,DD,Hoverfly
Chalcosyrphus,eunotus,Chalcosyrphus eunotus,VU,Hoverfly
Chalcosyrphus,femoratus,Chalcosyrphus femoratus,VU,Hoverfly
Chalcosyrphus,jacobsoni,Chalcosyrphus jacobsoni,EN,Hoverfly
Chalcosyrphus,nemorum,Chalcosyrphus nemorum,LC,Hoverfly
Chalcosyrphus,nigripes,Chalcosyrphus nigripes,EN,Hoverfly
Chalcosyrphus,nitidus,Chalcosyrphus nitidus,DD,Hoverfly
