TAXON;Records_1921-1940;Records_1941-1960;Records_1961-1980;Records_1981-2000;Records_2001-2020;Trend_mediterranean;Trend_alpine;Trend_atlantic;Trend_boreal;Trend_continental;;;
Afranthidium carduele;0;1;23;1;5;NA;NA;NA;NA;NA;;;
Afranthidium schulthessii;1;0;5;1;12;-0.192994808752487;NA;NA;NA;NA;;;
Aglaoapis tridentata;44;39;58;94;222;0.126952923251162;0.000823677448829101;-0.0362396850838678;-0.0863080241313309;-0.0601363074863271;;;
Amegilla albigena;109;127;281;317;472;0.012146743616496;-0.0171366900816402;0.147721558223608;NA;-0.00574235242325483;;;
Amegilla andresi;0;9;49;31;50;0.0118048386640341;NA;NA;NA;NA;;;
Amegilla fasciata;4;8;57;34;85;0.074268481228471;NA;NA;NA;NA;;;
Amegilla garrula;39;46;46;91;289;0.0352730915722928;-0.0108467188789723;NA;NA;0.000920542158821413;;;
Amegilla ochroleuca;5;15;21;7;24;0.0150497702407334;NA;NA;NA;NA;;;
Amegilla quadrifasciata;87;97;185;283;734;0.0216939121648363;0.0113779537271687;0.179496134335279;NA;-0.0121941426629439;;;
Amegilla salviae;0;4;19;3;6;-0.00697818405157333;NA;NA;NA;NA;;;
Amegilla savignyi;5;22;47;106;73;NA;NA;NA;NA;NA;;;
Amegilla talaris;0;3;21;1;0;NA;NA;NA;NA;NA;;;
Amegilla velocissima;0;2;187;0;1;NA;NA;NA;NA;NA;;;
Ammobates dusmeti;1;1;0;0;0;NA;NA;NA;NA;NA;;;
Ammobates melectoides;0;0;0;0;1;NA;NA;NA;NA;NA;;;
Ammobates muticus;0;26;2;5;70;0.0119199880487617;NA;NA;NA;NA;;;
Ammobates punctatus;7;54;31;31;48;0.0835811409190237;-0.0182786062389501;-0.188710902643657;NA;-0.0521453008724957;;;
Ammobates rufiventris;0;0;1;0;5;NA;NA;NA;NA;NA;;;
Ammobates vinctus;3;0;0;1;1;NA;NA;NA;NA;NA;;;
Ammobatoides abdominalis;4;0;1;0;22;NA;NA;NA;NA;NA;;;
Ammobatoides luctuosus;0;0;0;0;1;NA;NA;NA;NA;NA;;;
Ammobatoides scriptus;0;0;3;0;12;NA;NA;NA;NA;NA;;;
Anasimyia contracta;0;0;6;13;161;NA;NA;NA;NA;NA;;;
Anasimyia femorata;0;0;0;6;1;NA;NA;NA;NA;NA;;;
Anasimyia interpuncta;3;4;21;64;571;NA;NA;0.092442447210194;0.0668641218844721;0.098051259140279;;;
Anasimyia lunulata;1;3;70;89;124;NA;NA;-0.0604377050696441;-0.0125831295340067;-0.0602272052041097;;;
Anasimyia transfuga;3;10;14;106;450;NA;NA;-0.0575648780721547;-0.0105321856958836;-0.0316620562638634;;;
Ancyla asiatica;0;0;0;0;1;NA;NA;NA;NA;NA;;;
Ancyla holtzi;1;0;0;0;0;NA;NA;NA;NA;NA;;;
Ancyla orientalica;0;0;0;0;2;NA;NA;NA;NA;NA;;;
Andrena abbreviata;0;0;13;5;2;NA;0.00795411744560638;NA;NA;NA;;;
Andrena aberrans;0;1;0;0;4;NA;NA;NA;NA;NA;;;
Andrena abjecta;0;0;0;0;3;NA;NA;NA;NA;NA;;;
Andrena abrupta;0;0;7;5;52;0.0852027640654138;NA;NA;NA;NA;;;
Andrena aciculata;0;0;3;9;6;NA;NA;NA;NA;-0.0477621188993667;;;
Andrena aegypticola;0;1;0;0;3;NA;NA;NA;NA;NA;;;
Andrena aeneiventris;45;15;44;36;129;0.00217759548673796;-0.0113827616040325;0.00308484725952452;NA;0.0201278873531158;;;
Andrena aerinifrons;0;4;5;6;21;NA;NA;NA;NA;NA;;;
Andrena afrensis;6;4;19;77;81;-0.0427963143004015;-0.0095760130607134;NA;NA;NA;;;
Andrena afzeliella;77;67;100;106;344;-0.0108857428728244;0.0439037137464742;0.0043971805348501;-0.087887462949289;-0.0314985899597658;;;
Andrena agilissima;115;83;348;188;463;-0.0511952245973306;-0.0359501566439614;-0.0283847474935694;NA;-0.0244886088746485;;;
Andrena agnata;38;0;1;2;2;NA;NA;NA;NA;NA;;;
Andrena albopunctata;6;24;109;75;82;-0.0123367238357247;NA;NA;NA;NA;;;
Andrena alfkenella;138;231;278;139;561;NA;NA;NA;NA;NA;;;
Andrena alfkenelloides;0;0;1;9;16;-0.0177968562417521;NA;NA;NA;NA;;;
Andrena allosa;0;1;1;1;65;NA;NA;NA;NA;NA;;;
Andrena alluaudi;0;1;3;9;85;-0.0027823867289849;NA;NA;NA;NA;;;
Andrena alma;0;0;0;3;5;NA;NA;NA;NA;NA;;;
Andrena almas;0;0;1;0;0;NA;NA;NA;NA;NA;;;
Andrena alutacea;21;4;8;40;82;NA;NA;NA;NA;NA;;;
Andrena amieti;35;15;28;130;229;NA;-0.00645718144496666;NA;NA;NA;;;
Andrena ampla;30;13;49;74;295;-0.0294317244582115;0.0189783917255961;-0.0504823710257827;NA;NA;;;
Andrena anatolica;0;0;1;1;2;NA;NA;NA;NA;NA;;;
Andrena angustior;197;233;880;1233;1015;0.0347272104768327;0.0135514770314795;-0.054704536862822;NA;-0.0666417620893755;;;
Andrena anthrisci;3;1;21;76;2;NA;NA;NA;NA;NA;;;
Andrena antigana;0;3;38;55;44;-0.0346333622065118;NA;NA;NA;NA;;;
Andrena antonellae;0;0;0;0;10;NA;NA;NA;NA;NA;;;
Andrena apicata;165;184;148;408;867;NA;0.0207155803910401;-0.0334962620996508;-0.0145256219378549;-0.00317224541087324;;;
Andrena argentata;539;416;384;741;2159;NA;-0.0288181363944907;-0.0369295649621897;-0.0263635101559395;-0.0556063201091762;;;
Andrena asiatica;0;0;4;0;0;NA;NA;NA;NA;NA;;;
Andrena asperrima;2;2;31;30;48;-0.0631766801653005;NA;NA;NA;NA;;;
Andrena assimilis;14;21;28;29;74;NA;NA;NA;NA;NA;;;
Andrena astica;0;0;0;0;4;NA;NA;NA;NA;NA;;;
Andrena athenensis;0;0;4;0;5;NA;NA;NA;NA;NA;;;
Andrena atrata;0;1;2;4;3;NA;NA;NA;NA;NA;;;
Andrena atrotegularis;0;0;6;0;1;NA;NA;NA;NA;NA;;;
Andrena avara;0;0;2;9;21;NA;NA;NA;NA;NA;;;
Andrena baetica;0;0;0;3;7;NA;NA;NA;NA;NA;;;
Andrena barbareae;31;11;27;70;256;NA;-0.0182790120529784;NA;NA;NA;;;
Andrena barbilabris;472;621;1247;3288;8084;0.073774985073277;0.00898821883920484;-0.00723141206873151;-0.0290418963932086;-0.00640871793717592;;;
Andrena batava;7;17;4;13;92;NA;NA;NA;NA;NA;;;
Andrena bayona;0;4;1;0;11;0.368495455948145;NA;NA;NA;NA;;;
Andrena bellidis;0;5;8;8;72;NA;NA;NA;NA;NA;;;
Andrena benoisti;0;0;2;18;8;0.476159420490202;NA;NA;NA;NA;;;
Andrena bicolor;604;750;2800;8182;14504;NA;NA;NA;NA;NA;;;
Andrena bicolorata;14;3;7;22;44;-0.0562130749083145;NA;NA;NA;NA;;;
Andrena biguttata;0;0;15;5;0;NA;NA;NA;NA;NA;;;
Andrena bimaculata;201;136;237;928;1349;-0.0378133390202141;-0.000809647227045061;-0.0302685322046033;-0.0444271545808566;-0.0325389147036814;;;
Andrena binominata;0;1;3;1;13;NA;NA;NA;NA;NA;;;
Andrena bisulcata;1;1;2;1;7;-0.251704505361824;NA;NA;NA;NA;;;
Andrena blanda;0;0;0;4;15;NA;NA;NA;NA;NA;;;
Andrena braunsiana;0;0;0;0;2;NA;NA;NA;NA;NA;;;
Andrena brumanensis;2;0;9;27;44;NA;NA;NA;NA;NA;;;
