family,scientificName,Group,1921-1940,1941-1960,1961-1980,1981-2000,2001-2020,mediterranean,alpine,atlantic,continental,boreal
Andrenidae,Andrena abbreviata,bees,0,2,28,6,12,NA,0.00741043944147425,NA,NA,NA
Andrenidae,Andrena aberrans,bees,0,1,0,0,5,NA,NA,NA,NA,NA
Andrenidae,Andrena abjecta,bees,0,0,0,0,3,NA,NA,NA,NA,NA
Andrenidae,Andrena abrupta,bees,0,0,6,5,69,0.0852149356835405,NA,NA,NA,NA
Andrenidae,Andrena acerba,bees,0,0,0,0,28,NA,NA,NA,NA,NA
Andrenidae,Andrena aciculata,bees,0,0,6,10,9,NA,NA,NA,-0.0476709073004111,NA
Andrenidae,Andrena aegypticola,bees,0,1,0,2,3,NA,NA,NA,NA,NA
Andrenidae,Andrena aeneiventris,bees,58,16,71,53,153,0.00219033664592249,-0.0113895915651413,0.00312757777716408,0.0201319163997616,NA
Andrenidae,Andrena aerinifrons,bees,0,0,5,6,21,NA,NA,NA,NA,NA
Andrenidae,Andrena afrensis,bees,13,4,21,89,93,-0.042795422629243,-0.00957599300463815,NA,NA,NA
Andrenidae,Andrena afzeliella,bees,89,67,116,115,362,-0.0108857428728244,0.0439037137464742,0.0043971805348501,-0.0314985899597658,-0.087887462949289
Andrenidae,Andrena agilissima,bees,180,98,301,209,522,-0.0511741216648329,-0.0359398280602162,-0.0284702499364127,-0.0244928782041357,NA
Andrenidae,Andrena agnata,bees,47,0,1,2,2,NA,NA,NA,NA,NA
Andrenidae,Andrena albopunctata,bees,8,25,109,76,84,-0.0123400366524602,NA,NA,NA,NA
Andrenidae,Andrena alfkenella,bees,142,238,198,153,585,NA,NA,NA,NA,NA
Andrenidae,Andrena alfkenelloides,bees,0,0,1,9,35,NA,NA,NA,NA,NA
Andrenidae,Andrena allosa,bees,0,2,1,1,65,NA,NA,NA,NA,NA
Andrenidae,Andrena alluaudi,bees,0,0,3,9,93,-0.00278593452160066,NA,NA,NA,NA
Andrenidae,Andrena alma,bees,0,0,0,3,5,NA,NA,NA,NA,NA
Andrenidae,Andrena alutacea,bees,21,4,14,48,100,NA,NA,NA,NA,NA
Andrenidae,Andrena amieti,bees,35,15,28,130,229,NA,NA,NA,NA,NA
Andrenidae,Andrena ampla,bees,32,13,40,74,297,-0.0298104387818783,0.0188540492438742,-0.0584082678579367,NA,NA
Andrenidae,Andrena anatolica,bees,0,0,1,1,5,NA,NA,NA,NA,NA
Andrenidae,Andrena angustior,bees,229,263,928,1269,1024,0.0346862403952126,0.0135422297898708,-0.0546416721871308,-0.0666692977413566,NA
Andrenidae,Andrena anthrisci,bees,10,4,23,82,7,NA,NA,NA,NA,NA
Andrenidae,Andrena antigana,bees,0,3,33,55,47,-0.0346348845859848,NA,NA,NA,NA
Andrenidae,Andrena antonellae,bees,0,0,0,0,10,NA,NA,NA,NA,NA
Andrenidae,Andrena apicata,bees,198,220,161,425,897,NA,0.0205562068845418,-0.0331956388193807,-0.00321345722217601,-0.0144733458102651
Andrenidae,Andrena argentata,bees,557,439,412,773,2192,NA,-0.0288196750219357,-0.036402935938454,-0.0554999607466378,-0.0263599609912369
Andrenidae,Andrena asiatica,bees,0,0,4,0,11,NA,NA,NA,NA,NA
Andrenidae,Andrena asperrima,bees,2,2,35,30,49,-0.0631724471301191,NA,NA,NA,NA
Andrenidae,Andrena asperula,bees,0,0,10,3,11,NA,NA,NA,NA,NA
Andrenidae,Andrena assimilis,bees,18,23,30,30,81,NA,NA,NA,NA,NA
Andrenidae,Andrena astica,bees,0,0,1,0,4,NA,NA,NA,NA,NA
Andrenidae,Andrena athenensis,bees,0,0,4,1,7,NA,NA,NA,NA,NA
Andrenidae,Andrena atrata,bees,1,1,3,4,3,NA,NA,NA,NA,NA
Andrenidae,Andrena atrotegularis,bees,0,0,6,0,3,NA,NA,NA,NA,NA
Andrenidae,Andrena avara,bees,0,0,1,9,21,NA,NA,NA,NA,NA
Andrenidae,Andrena baetica,bees,0,0,0,3,7,NA,NA,NA,NA,NA
Andrenidae,Andrena barbareae,bees,60,22,38,103,284,NA,-0.0182815711756934,NA,NA,NA
Andrenidae,Andrena barbilabris,bees,601,728,1424,3440,8262,0.0303355068968664,0.0089425657558707,-0.00625574005415461,-0.00633571272913207,-0.0303944192422295
Andrenidae,Andrena batava,bees,7,19,4,13,96,NA,NA,NA,NA,NA
Andrenidae,Andrena bayona,bees,0,3,1,0,11,0.368505065374021,NA,NA,NA,NA
Andrenidae,Andrena bellidis,bees,0,3,3,8,73,NA,NA,NA,NA,NA
Andrenidae,Andrena benoisti,bees,0,0,2,14,8,0.214631735868943,NA,NA,NA,NA
Andrenidae,Andrena biarmica,bees,0,0,0,0,19,NA,NA,NA,NA,NA
Andrenidae,Andrena bicolor,bees,727,844,3006,8784,15029,NA,NA,NA,NA,NA
Andrenidae,Andrena bicolorata,bees,15,2,8,23,71,-0.0562118694644023,NA,NA,NA,NA
Andrenidae,Andrena biguttata,bees,0,0,18,8,0,NA,NA,NA,NA,NA
Andrenidae,Andrena bimaculata,bees,227,147,271,964,1411,-0.0373197376694773,-8.36433794091955e-4,-0.0293641282985805,-0.0329497185297869,-0.0444144932191816
Andrenidae,Andrena binominata,bees,0,1,3,1,15,NA,NA,NA,NA,NA
Andrenidae,Andrena bisulcata,bees,1,2,8,3,10,-0.251970172644861,NA,NA,NA,NA
Andrenidae,Andrena blanda,bees,0,0,0,4,15,NA,NA,NA,NA,NA
Andrenidae,Andrena braunsiana,bees,1,0,0,1,3,NA,NA,NA,NA,NA
Andrenidae,Andrena brumanensis,bees,2,0,11,28,133,NA,NA,NA,NA,NA
Andrenidae,Andrena bucephala,bees,31,45,171,720,574,NA,-0.0209295395081224,-0.0222116513815079,0.0137241493824128,NA
Andrenidae,Andrena caneae,bees,2,3,6,1,8,NA,NA,NA,NA,NA
Andrenidae,Andrena canohirta,bees,0,0,0,1,6,NA,NA,NA,NA,NA
Andrenidae,Andrena cantiaca,bees,0,0,0,0,40,NA,NA,NA,NA,NA
Andrenidae,Andrena capillosa,bees,0,0,0,0,1,NA,NA,NA,NA,NA
Andrenidae,Andrena cervina,bees,0,0,0,5,10,NA,NA,NA,NA,NA
Andrenidae,Andrena chaetogastra,bees,2,0,0,0,1,NA,NA,NA,NA,NA
Andrenidae,Andrena chersona,bees,0,0,0,1,0,NA,NA,NA,NA,NA
Andrenidae,Andrena chrysopus,bees,0,7,0,8,23,NA,0.450686879158883,NA,0.0900240631016333,NA
Andrenidae,Andrena chrysopyga,bees,3,47,10,11,46,NA,NA,NA,NA,NA
Andrenidae,Andrena chrysosceles,bees,229,311,1266,4863,6636,NA,0.0199428210021589,0.0380020056143357,-0.00271067274732759,0.0213993456013934
Andrenidae,Andrena cilissaeformis,bees,0,0,0,9,29,-4.0244365375382e-4,NA,NA,NA,NA
Andrenidae,Andrena cineraria,bees,665,655,874,2633,13419,-8.17013947154141e-4,0.0133229021729166,0.0341488137171198,0.0525048861659641,0.0218594391081548
Andrenidae,Andrena cinerea,bees,5,11,56,173,368,-7.69254712476678e-4,0.0253819570296134,NA,NA,NA
Andrenidae,Andrena cinereophila,bees,0,0,1,5,113,0.0122431324059436,NA,NA,NA,NA
Andrenidae,Andrena clarkella,bees,576,507,1251,2926,9475,NA,0.00906592735038584,-0.0229245812886833,0.0132281121159258,0.0126550176036497
Andrenidae,Andrena clypella,bees,0,0,25,19,76,NA,NA,NA,NA,NA
Andrenidae,Andrena coitana,bees,553,604,769,809,818,NA,-0.00958552503241202,-0.0342479036673138,-0.0387399859230075,-0.0427700622530693
Andrenidae,Andrena colletiformis,bees,13,10,104,35,123,NA,NA,NA,NA,NA
Andrenidae,Andrena combaella,bees,1,0,10,1,39,-0.0221070164289617,-0.251387176077103,NA,NA,NA
Andrenidae,Andrena combinata,bees,151,83,142,262,700,NA,NA,NA,NA,NA
Andrenidae,Andrena compta,bees,1,0,0,1,0,NA,NA,NA,NA,NA
Andrenidae,Andrena comta,bees,0,0,0,0,1,NA,NA,NA,NA,NA
Andrenidae,Andrena concinna,bees,0,0,0,6,15,NA,NA,NA,NA,NA
Andrenidae,Andrena confinis,bees,39,4,0,5,19,NA,NA,NA,NA,NA
Andrenidae,Andrena congruens,bees,53,32,86,68,463,0.0905927386043056,-0.0277124866882427,-0.0107994388879001,-0.0357436939586978,-0.0208031996541761
Andrenidae,Andrena contracta,bees,0,0,0,2,4,NA,NA,NA,NA,NA
